neuron_id,direction,cluster,nearest_cross_cluster,dist_to_nearest_cross,distance_metric
200199_061,FB,1,5,0.38096135732319536,euclidean
200199_067,FB,1,5,0.17286671737038245,euclidean
200293_061,FB,1,5,0.17386559574669622,euclidean
200321_008,FB,1,5,0.17386559574669622,euclidean
200321_041,FB,6,1,1.1397002929507136,euclidean
200323_006,FB,1,5,0.17386559574669622,euclidean
200325_003,FB,1,5,0.48495851336420503,euclidean
200579_017,FB,1,5,0.17386559574669622,euclidean
201390_019,FB,3,1,0.08605102300453746,euclidean
201390_022,FB,2,1,0.4189479852203175,euclidean
201760_001,FB,1,5,0.17386559574669622,euclidean
201760_006,FB,3,1,0.020040098003366213,euclidean
220188_022,FB,3,1,0.08605102300453746,euclidean
220189_035,FB,3,1,0.08605102300453746,euclidean
220189_097,FB,3,1,0.08543179105505615,euclidean
220191_063,FB,3,1,0.08605102300453746,euclidean
220192_035,FB,1,5,0.17386559574669622,euclidean
220192_069,FB,2,1,0.804723305949973,euclidean
220192_107,FB,3,1,0.08605102300453746,euclidean
220193_014,FB,5,4,0.5086900323579399,euclidean
221224_459,FB,1,5,0.17386559574669622,euclidean
221224_464,FB,6,2,0.4230579709617354,euclidean
221224_493,FB,1,5,0.17386559574669622,euclidean
221224_494,FB,1,5,0.17733446146531784,euclidean
221225_226,FB,1,5,0.17386559574669622,euclidean
221423_109,FB,1,5,0.17386559574669622,euclidean
221423_140,FB,1,5,0.17386559574669622,euclidean
221424_014,FB,3,1,0.9060931397745287,euclidean
221424_057,FB,3,1,0.08605102300453746,euclidean
221472_019,FB,3,1,0.08605102300453746,euclidean
221472_021,FB,1,4,0.6726430255238637,euclidean
221531_118,FB,1,5,0.23173200724495602,euclidean
221531_123,FB,1,5,0.11855128945511877,euclidean
221703_335,FB,1,5,0.17386559574669622,euclidean
221703_349,FB,1,5,0.17386559574669622,euclidean
221703_359,FB,1,5,0.34486509363965323,euclidean
221703_371,FB,3,1,0.9060931397745287,euclidean
221703_379,FB,1,5,0.17386559574669622,euclidean
221703_380,FB,1,5,0.17386559574669622,euclidean
221703_448,FB,1,5,0.13027382835058127,euclidean
195199_039,FB,3,1,0.08605102300453746,euclidean
195830_026,FB,3,1,0.062032907873533404,euclidean
195831_037,FB,3,1,0.2548739870558056,euclidean
200324_007,FB,3,1,0.08605102300453746,euclidean
220188_071,FB,3,1,0.08605102300453746,euclidean
220189_009,FB,2,1,0.6965025018362696,euclidean
195047_033,FB,3,1,0.2548739870558056,euclidean
195049_001,FB,1,5,0.17386559574669622,euclidean
195828_052,FB,1,5,0.17386559574669622,euclidean
195838_030,FB,1,5,0.17386559574669622,euclidean
195839_022,FB,3,1,0.08605102300453746,euclidean
200194_097,FB,1,5,0.19239311046864382,euclidean
200196_041,FB,2,4,0.5684490359754519,euclidean
200197_005,FB,1,5,0.6689082016199637,euclidean
200198_015,FB,3,1,0.025136949476378834,euclidean
201390_007,FB,3,1,0.08605102300453746,euclidean
220188_054,FB,3,1,0.08605102300453746,euclidean
220192_063,FB,2,1,0.5677197606452695,euclidean
220193_012,FB,5,4,0.08308167341628206,euclidean
221224_144,FB,3,1,0.5307713382214939,euclidean
221224_428,FB,5,4,0.08308167341628206,euclidean
221224_439,FB,1,5,0.17386559574669622,euclidean
221224_486,FB,1,5,0.17386559574669622,euclidean
221224_496,FB,1,5,0.17386559574669622,euclidean
221225_098,FB,1,5,0.7364583977675463,euclidean
221225_100,FB,2,1,0.804723305949973,euclidean
221225_102,FB,5,4,0.08308167341628206,euclidean
221225_104,FB,5,4,0.5377650750712061,euclidean
221225_107,FB,1,5,0.5487719934513923,euclidean
