neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area,cluster
221057_156,9406.3203125,672.4719848632812,7452.33984375,False,821,VISp2/3,VISp,2/3,2/3,4,27,4,0,0,35,704.1351,5772.1085,391.0789,34.1055,0.0,6901.428,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.1142857142857142,0.7714285714285715,0.1142857142857142,0.0,0.0,0.1020274499712233,0.8363643727066341,0.0566663739736182,0.0049418033485243,0.0,0.0056807280307429,0.0046776667486413,0.0102281150939107,0.0,,VISp_to_VISrl_FF,FF,VISp,VISrl,6
221364_052,7840.56005859375,755.1640014648438,8106.85986328125,False,821,VISp2/3,VISp,2/3,2/3,3,11,2,7,0,23,60.1499,2365.6415,1011.3232,1634.3777,311.6767,5383.169,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.1304347826086956,0.4782608695652174,0.0869565217391304,0.3043478260869565,0.0,0.0111736971289587,0.4394514643697793,0.1878676296434312,0.3036088408147691,0.0578983680430616,0.04987539463906,0.0046499015171994,0.0019776071586214,0.0042829757160783,0.0,VISp_to_VISrl_FF,FF,VISp,VISrl,3
221364_080,8055.919921875,817.3759765625,8341.8203125,False,821,VISp2/3,VISp,2/3,2/3,5,10,1,15,0,31,662.8714,3538.4276,882.8575,3604.4497,0.0,8688.6062,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.1612903225806451,0.3225806451612903,0.032258064516129,0.4838709677419355,0.0,0.0762920294396585,0.4072491627022985,0.1016109465290301,0.4148478613290127,0.0,0.0075429412100144,0.0028261140626418,0.0011326856259362,0.0041615229087535,,VISp_to_VISrl_FF,FF,VISp,VISrl,3
221364_081,8021.2001953125,829.5040283203125,8383.51953125,False,821,VISp2/3,VISp,2/3,2/3,8,16,2,30,0,56,629.9209,5889.5751,245.896,6204.0037,0.0,12969.3957,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.1428571428571428,0.2857142857142857,0.0357142857142857,0.5357142857142857,0.0,0.0485697957384398,0.4541133015164307,0.0189597114382129,0.4783571913069164,0.0,0.0127000072548791,0.0027166645688922,0.0081335198620555,0.0048355870580799,,VISp_to_VISrl_FF,FF,VISp,VISrl,3
221364_082,7936.2998046875,890.5679931640625,8422.8203125,False,821,VISp2/3,VISp,2/3,2/3,10,30,5,17,0,62,1493.7926,7431.3223,1789.6806,4199.9971,438.265,15353.0576,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.1612903225806451,0.4838709677419355,0.0806451612903225,0.2741935483870967,0.0,0.09729609820522,0.4840288165140473,0.1165683505284315,0.2735609550504128,0.0285457797018881,0.0066943697538734,0.0040369666109085,0.0027937946022323,0.0040476218424055,0.0,VISp_to_VISrl_FF,FF,VISp,VISrl,3
221364_083,7840.7998046875,853.7559814453125,8439.7802734375,False,821,VISp2/3,VISp,2/3,2/3,4,12,0,2,1,19,350.0236,3840.6488,247.7428,1829.4418,354.6085,6622.4655,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.2105263157894736,0.631578947368421,0.0,0.1052631578947368,0.0526315789473684,0.05285397107769,0.5799424398662402,0.037409451208164,0.2762478415327343,0.0535462963151714,0.0114278008682843,0.0031244720944023,0.0,0.0010932296397731,0.0028200113646457,VISp_to_VISrl_FF,FF,VISp,VISrl,6
221364_084,7760.93994140625,788.4520263671875,8397.1396484375,False,821,VISp2/3,VISp,2/3,2/3,0,10,1,4,0,15,218.814,2430.2956,542.4367,622.9636,252.7324,4067.2423,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.0,0.6666666666666666,0.0666666666666666,0.2666666666666666,0.0,0.0537991060921057,0.5975290923778994,0.1333671957532503,0.1531660899573158,0.0621385158194288,0.0,0.0041147257971417,0.0018435330795279,0.0064209209013175,0.0,VISp_to_VISrl_FF,FF,VISp,VISrl,3
221364_085,7798.33984375,852.1259765625,8287.5,False,821,VISp2/3,VISp,2/3,2/3,3,17,2,5,0,27,27.6312,3849.5502,1134.2713,2156.6043,0.0,7168.057,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.1111111111111111,0.6296296296296297,0.074074074074074,0.1851851851851851,0.0,0.0038547684539896,0.53704235331834,0.1582397154486913,0.300863162778979,0.0,0.1085729175714409,0.0044161003537504,0.0017632465883602,0.0023184596265527,,VISp_to_VISrl_FF,FF,VISp,VISrl,6
221364_086,7926.81982421875,684.5780029296875,8393.9599609375,False,593,VISp1,VISp,1,1,4,3,2,4,0,13,1706.7486,2165.4772,928.6485,1568.5938,0.0,6369.4681,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.3076923076923077,0.2307692307692307,0.1538461538461538,0.3076923076923077,0.0,0.2679577906984101,0.3399777133666781,0.1457968680304718,0.2462676279044399,0.0,0.0023436374870909,0.00138537593469,0.0021536673994519,0.0025500547050485,,VISp_to_VISrl_FF,FF,VISp,VISrl,5
221364_087,7904.97998046875,705.9580078125,8335.8798828125,False,821,VISp2/3,VISp,2/3,2/3,4,21,7,15,0,47,326.8337,3582.8127,2709.0128,5038.084,647.0344,12303.7776,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.0851063829787234,0.4468085106382978,0.1489361702127659,0.3191489361702128,0.0,0.0265636872369994,0.2911961526352686,0.2201773218007451,0.4094745665753905,0.052588271751596,0.0122386400178439,0.0058613167247062,0.0025839671189445,0.0029773223312672,0.0,VISp_to_VISrl_FF,FF,VISp,VISrl,3
221477_061,8395.580078125,1150.0999755859375,2507.840087890625,False,821,VISp2/3,VISp,2/3,2/3,5,13,2,5,0,25,746.8571,3598.792,1807.0711,2802.5747,1849.7383,10805.033200000002,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.2,0.52,0.08,0.2,0.0,0.0691212221356247,0.3330662602684089,0.1672434565032155,0.2593767782222085,0.1711922828705422,0.0066947211186718,0.0036123232462448,0.0011067633144041,0.0017840737661693,0.0,VISp_to_VISrl_FF,FF,VISp,VISrl,6
221479_158,8660.8798828125,1235.5699462890625,8983.9599609375,False,821,VISp2/3,VISp,2/3,2/3,6,15,2,2,0,25,687.7372,3760.97,861.0035,1584.0131,0.0,6893.7238,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.24,0.6,0.08,0.08,0.0,0.0997628016370484,0.5455643581194826,0.1248967212756623,0.2297761189678066,0.0,0.0087242626980189,0.0039883327971241,0.0023228709290961,0.0012626158205383,,VISp_to_VISrl_FF,FF,VISp,VISrl,6
221479_168,8970.6396484375,1386.47998046875,8998.580078125,False,821,VISp2/3,VISp,2/3,2/3,3,8,1,0,1,13,105.1603,2094.6214,514.3795,674.8352,16.79,3405.7864,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.2307692307692307,0.6153846153846154,0.0769230769230769,0.0,0.0769230769230769,0.0308769510618751,0.6150184286366286,0.1510310511545879,0.198143723869471,0.0049298452774372,0.0285278760140471,0.0038193059614496,0.0019440899180468,0.0,0.0595592614651578,VISp_to_VISrl_FF,FF,VISp,VISrl,6
221479_216,8404.3798828125,784.7039794921875,3580.60009765625,False,821,VISp2/3,VISp,2/3,2/3,5,22,2,19,0,48,611.218,2607.6843,530.2243,1853.2705,0.0,5602.3971,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.1041666666666666,0.4583333333333333,0.0416666666666666,0.3958333333333333,0.0,0.1090993710531515,0.4654586694684673,0.0946423986975146,0.3307995607808665,0.0,0.0081803873577021,0.0084366040781853,0.003771988571629,0.0102521461384077,,VISp_to_VISrl_FF,FF,VISp,VISrl,3
