 ,221057_103,221057_120,221057_123,221057_135,221057_139,221057_153,221057_154,221057_160,221057_164,221057_167,221479_226,221481_118,221481_257,221481_258,221701_034,221701_035,221701_041,221701_050,221701_054,221701_055,221727_015,230066_078,230066_082,230066_083,230066_084,230066_085,230066_087,230066_089,230066_121,230066_122,230066_125,233379_047,233379_114,233379_115,233379_124,233379_131,233668_046,233668_057,233668_059,233668_061,233668_062,233668_071,233668_075,233668_076,233668_096,233668_097,233668_099,233668_100,233668_101,233668_103,233795_009,221090_095,221090_098,221091_154,221417_015,221417_016,221417_043,221418_139,221478_278,221479_163,221480_100,221481_237,221702_004,231685_243,231685_255,231685_273,231685_274,231685_275,231685_286,231685_291,233379_029,233379_030,233379_032,233379_036,233379_040,233379_097,233379_102,233379_103,233379_104,233379_107,233379_109,233379_118,233379_130,233379_142,233380_036,233380_092,233666_139,233666_218,221090_092,221090_093,221090_094,221091_113,221091_125,221091_141,221417_017,221418_001,221418_127,221418_131,221418_132,221418_133,221418_135,221418_136,221418_137,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221479_185,221479_236,221481_137,221515_017,231685_244,231687_014,233379_123,233666_049,233666_168,233666_201,233667_154,233667_217,233667_242,233667_255,233667_267,233667_269,233667_289,221065_081,221065_082,221091_171,231687_028,233284_183,233667_270,233668_104,221365_066,221365_072,233666_005,233666_048,233666_052,233666_126,233666_128,233666_137,233666_146,233666_152,233666_163,233666_206,233667_132,233667_136,233667_161,233667_171,233667_175,233667_185,233667_190,233667_193,233667_201,233667_218,233667_219,233667_221,233667_223,233667_225,233667_233,233667_234,233667_259,233795_007,221515_021,221701_051,233281_101,233281_102,233666_050,233667_182
="TEa1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="503.2138",="0",="347.1227",="1710.9179",="0",="0",="0",="0",="0",="0",="0",="0",="3497.777",="0",="0",="0",="0",="0",="0",="25.9134",="0",="0",="192.5633",="0",="73.2864",="0",="0",="0",="0",="0",="0",="369.0087",="0",="0",="0",="0",="0",="496.8496",="0",="2936.812",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="344.3893",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="166.6959",="0",="0",="0",="284.271",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="TEa2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="201.4296",="0",="0",="1669.8272",="0",="0",="0",="0",="0",="0",="0",="0",="4048.9819",="0",="0",="0",="0",="0",="0",="158.9471",="0",="0",="0",="0",="190.1676",="0",="0",="0",="0",="0",="0",="479.3735",="0",="0",="0",="399.0664",="0",="1532.2",="0",="1497.5213",="0",="34.688",="0",="0",="0",="0",="0",="0",="0",="240.7261",="0",="533.3659",="0",="0",="0",="0",="91.7345",="0",="0",="0",="92.4555",="0",="0",="174.7363",="0",="0",="0",="443.6357",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="108.4589",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="TEa4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="368.4194",="0",="0",="186.1368",="0",="0",="0",="0",="0",="0",="0",="0",="1648.451",="0",="0",="0",="0",="0",="0",="260.3855",="0",="0",="0",="0",="6.5393",="0",="0",="0",="0",="0",="0",="736.3134",="0",="0",="0",="0",="0",="434.9292",="0",="2042.2216",="0",="0",="0",="0",="0",="0",="0",="0",="0",="22.4455",="0",="264.9584",="0",="0",="0",="0",="127.3604",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="152.6157",="0",="0",="0",="0",="0",="0",="0",="0",="0",="111.2274",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOp6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="528.5632",="0",="380.6858",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="353.252",="0",="0",="0",="830.6317",="0",="0",="0",="0",="0",="0",="153.5271",="0",="537.9882",="0",="0",="0",="494.3814",="796.6972",="0",="360.1263",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="455.1405",="0",="0",="0",="0",="342.4259",="0",="88.0705",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2269.3334",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4099.0605",="0",="0",="0",="0",="0",="0",="739.8495",="0",="0",="0",="0",="1883.0286",="839.7935",="0",="0",="0",="0",="0",="0",="0",="0",="0",="417.99",="0",="30.8509",="0",="0",="0",="162.6533",="0",="0",="1806.185",="0",="0",="0",="0",="0",="0",="4130.4309",="106.5679",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="21.1426",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1423.7823",="0",="0",="0",="0",="0",="0",="302.3646",="0",="0",="0",="0",="2225.6598",="805.9502",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3792.039",="0",="288.1265",="0",="0",="0",="476.9649",="0",="0",="727.7713",="0",="0",="0",="0",="0",="0",="1558.3211",="271.5481",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="691.0352",="0",="579.8475",="0",="0",="63.3071",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="653.6997",="0",="0",="0",="1011.8914",="0",="0",="0",="0",="0",="0",="506.492",="0",="0",="0",="0",="225.6686",="803.6593",="554.7264",="0",="434.9166",="404.624",="0",="0",="0",="1017.7868",="323.4872",="1212.1832",="0",="0",="0",="0",="0",="0",="0",="0",="1232.0881",="0",="0",="0",="0",="492.7554",="0",="1019.4752",="905.8583",="0",="0",="0",="0",="0",="0",="0",="0",="389.9551",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="346.6819",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="390.8983",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="14466.7064",="0",="461.8539",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1611.7544",="0",="0",="0",="4283.8552",="0",="0",="0",="0",="0",="0",="7224.2872",="0",="0",="0",="0",="7156.979",="9394.221500000001",="1063.0157",="0",="0",="1124.5896",="0",="0",="0",="0",="909.1812",="923.3425",="0",="1750.0441",="0",="0",="0",="2493.5545",="0",="0",="24381.9802",="0",="0",="0",="0",="0",="0",="14525.797",="1742.4954",="0",="0",="0",="0",="0",="0",="0",="0",="90.095",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="956.6934",="0",="414.4866",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="217.7587",="0",="0",="0",="917.2126",="0",="0",="0",="0",="0",="0",="1342.4614",="0",="0",="0",="0",="5716.552",="7186.7741",="1328.5412",="0",="0",="441.1287",="0",="0",="0",="0",="1998.339",="1645.3885",="0",="7175.8672",="0",="0",="0",="346.4805",="0",="0",="3951.5681",="0",="0",="0",="0",="0",="0",="3466.7196",="1469.7863",="0",="0",="0",="0",="0",="0",="0",="0",="260.1334",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1018.8815",="0",="608.3792",="0",="0",="2094.1232",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="565.0227",="0",="0",="0",="221.0173",="0",="0",="0",="0",="0",="0",="1175.8109",="0",="0",="0",="0",="2590.1317",="4532.2268",="778.0745",="0",="150.4243",="0",="0",="0",="0",="150.7291",="2846.5965",="418.9066",="0",="1781.7516",="0",="0",="0",="0",="0",="0",="4382.0948",="0",="0",="0",="0",="0",="0",="1489.8589",="971.1367",="0",="0",="0",="0",="0",="0",="0",="0",="463.0438",="0",="0",="0",="0",="0",="320.442",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="790.6887",="0",="1256.4524",="0",="0",="1637.563",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="22.4235",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="735.0447",="0",="0",="0",="0",="1537.2238",="1366.9438",="1131.4215",="0",="1441.2221",="899.096",="0",="0",="0",="0",="0",="421.6334",="0",="260.7164",="0",="0",="0",="0",="0",="0",="323.7138",="0",="0",="0",="0",="1272.1659",="0",="770.8002",="460.4831",="0",="0",="0",="0",="0",="0",="0",="0",="145.9857",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1282.808",="0",="31.5368",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="346.654",="0",="0",="0",="508.6885",="0",="0",="0",="0",="0",="0",="2057.9731",="0",="0",="0",="0",="225.3422",="304.9199",="0",="0",="82.9709",="1063.9666",="0",="0",="0",="0",="0",="0",="0",="223.0708",="0",="0",="0",="0",="0",="0",="6768.4758",="0",="0",="0",="0",="0",="0",="2182.8132",="902.7454",="0",="0",="0",="0",="0",="0",="0",="0",="70.1002",="0",="0",="0",="0",="0",="3840.2279000000003",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SCzo",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="754.907",="0",="0",="0",="0",="60.917",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="120.0462",="0",="0",="0",="722.1705",="727.4691",="0",="0",="312.6511",="0",="0",="0",="0",="83.0182",="0",="0",="0",="0",="0",="0",="0",="16.1201",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="908.1336",="1546.3853",="533.7399",="271.3192",="0",="0",="2197.4003",="0",="0",="0",="0",="467.4722",="0",="356.0263",="842.1741000000001",="1223.6243",="337.7861",="4172.1355",="96.4441",="0",="115.63480000000001",="586.4145",="1944.5304",="20.6699",="0",="0",="0",="0",="0",="0"
="int",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="255.9396",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="120.2599",="0",="0",="113.7627",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2773.543",="2721.5536",="1181.5063",="336.498",="1396.6525",="493.827",="443.32",="311.0674",="339.3758",="769.6762",="1396.6041",="745.9483",="1205.0022",="361.6048",="1064.8617",="413.6855",="800.6084",="620.639",="674.8732",="690.0822",="814.5314",="497.2707",="779.8467",="451.8306",="139.7716",="1011.0707",="825.3007",="143.7305",="568.8384",="620.6029",="0",="1343.5325",="662.6285",="485.9993",="559.9112",="1165.2038"
="SSp-tr6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="176.5568",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="643.2449",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="14.7132",="0",="0",="0",="0",="0",="0",="271.4183",="0",="585.1652",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDpo1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="708.7208",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="74.8539",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="873.4973",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDpo2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="226.0699",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="262.5286",="0",="194.1844",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="219.5387",="0",="0",="0",="0",="0",="0",="0",="0",="1793.5096",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="67.3539",="0",="0",="25.298",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ccg",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="132.2202",="0",="0",="304.4013",="544.7868",="116.2983",="862.923",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="106.478",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1283.7735",="0",="0",="0",="16.5801",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1031.4917",="620.2837",="0",="0",="0",="0",="0",="0",="0",="0",="0",="352.278",="0",="202.7649",="0",="328.7472",="0",="0",="6.1538",="0",="172.3353",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="185.4272",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SEZ",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="198.1226",="530.2284",="0",="268.5851",="1038.6917",="24.8748",="1290.131",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="96.4921",="0",="0",="0",="0",="0",="0",="0",="119.7914",="0",="509.428",="0",="0",="0",="113.6366",="0",="0",="519.1819",="0",="0",="76.6768",="404.1141",="0",="0",="527.2802",="0",="0",="7.2152",="139.0826",="1006.8333",="4.6741",="0",="0",="0",="11.7446",="1493.6731",="0",="167.7316",="0",="838.8926",="625.9158",="0",="959.6545",="0",="0",="0",="0",="1338.4267",="0",="0",="0",="5.8579",="0",="0",="2070.8447",="0",="0",="8.7792",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="819.715",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6.1405",="0",="0",="0",="1296.2441",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2040.8795",="0",="0",="0",="0",="0",="0",="0",="0",="1170.5145",="1264.2469",="0",="0",="0",="0",="0",="0",="1122.0718",="0",="0",="506.5147",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
