 ,221475_127,221480_097,221481_338,221519_043,221519_044,221519_058,221622_001,221622_002,221622_007,221622_011,221622_047,221622_061,221644_085,221645_164,221706_070,221706_088,221706_091,221706_133,221714_042,221714_047,221733_033,221733_035,221733_097,221751_063,221751_065,221751_071,221751_085,221751_087,221751_089,221756_065,221757_065,221757_073,221757_074,221757_075,221757_077,221757_078,230105_019,230108_030,230108_032,230109_004,230110_026,230110_028,230110_029,231567_099,231567_123,231568_028,231568_033,231568_034,233795_061,221419_056,221419_061,221424_043,221474_133,221475_105,221706_084,221706_138,221715_001,221751_257,221751_262,221756_084,221757_071,221757_072,230108_031,231568_030,212075_027,220239_169,221220_008,221418_141,221418_142,221419_059,221423_013,221423_014,221423_016,221423_032,221423_040,221423_058,221475_088,221475_109,221475_110,221475_111,221645_178,221706_078,221706_123,221706_142,221714_045,221714_050,221732_099,221733_091,221754_013,231569_020,220239_189,221062_070,221087_105,221423_042,221423_060,221513_074,221517_026,220239_140,221423_059,221423_065,221530_127
="VISa4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="349.6118",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="123.0603",="0",="69.8705",="0",="0",="266.6488",="0",="0",="0",="0",="0",="0",="0",="0",="358.8754",="794.5635",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="187.9038",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="372.1042",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="501.0454",="0",="0",="0",="0",="0",="87.6104",="0",="0",="0",="0",="0",="0",="0",="0"
="VISa5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1083.1964",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="135.658",="0",="0",="0",="0",="543.4991",="0",="0",="0",="0",="0",="0",="0",="0",="1110.6195",="2944.4371",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="198.4621",="0",="0",="0",="0",="0",="0",="395.8729",="0",="1605.4749",="0",="0",="0",="0",="0",="0",="0",="0",="151.7632",="0",="0",="12.7229",="0",="0",="0",="0",="0",="549.6231",="417.4677",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="151.0474",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="105.2139",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2.8373",="0",="465.4704",="0",="120.0457",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="448.7458",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="50.5551",="0",="0",="1361.9886",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="273.5273",="0",="0",="0",="0",="12395.3168",="0",="0",="0",="106.6504",="3750.9608",="0",="0",="1220.891",="1522.3965",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2206.8739",="0",="3892.4779",="0",="0",="0",="1030.7498",="106.0834",="0",="0",="3239.842",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="934.4418",="0",="0",="0",="0",="0",="0",="0",="0",="67.5476",="0",="0",="0",="0",="0",="0",="0",="95.0543",="0",="0",="2364.7848",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="196.5891",="0",="0",="0",="0",="3412.5745",="0",="0",="0",="932.8299",="1491.9355",="0",="0",="7209.7013",="523.9603",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2534.3104",="683.489",="6636.3365",="4.8456",="0",="0",="514.2681",="0",="0",="0",="2225.4453",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="730.8346",="0",="0",="0",="818.1124",="0",="126.7176",="0",="0",="741.5696",="0",="0",="0",="0",="0",="141.7329",="0",="0",="0",="0",="260.1363",="0",="0",="0",="0",="0",="169.3453",="0",="0",="0",="0",="0",="0",="200.1856",="0",="0",="0",="0",="1523.9247",="0",="0",="0",="291.4993",="323.4073",="0",="0",="5078.5798",="1585.0222",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="162.0055",="0",="0",="0",="0",="194.1861",="477.9321",="6954.35",="3374.6067",="0",="0",="0",="0",="0",="2200.8811",="0",="24.2014",="1388.8092",="0",="0",="0",="0",="0",="0",="0"
="MOp6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="663.14",="0",="0",="0",="0",="787.7664",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="480.9952",="0",="0",="0",="83.4423",="1042.8212",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="995.3273",="116.4468",="0",="0",="0",="0",="0",="0",="0",="0",="0",="463.2384",="325.6876",="0",="0",="3509.1672",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1127.8073",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="347.783",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="584.0031",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="596.8373",="0",="1139.6787",="0",="0",="0",="545.0167",="0",="0",="0",="0",="0",="0",="5763.1165",="460.8491",="0",="0",="0",="0",="0",="0",="0"
="MOs6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2493.9815",="0",="0",="0",="0",="598.723",="35.6976",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="101.5162",="0",="0",="0",="0",="0",="376.069",="305.3076",="0",="0",="595.1832",="984.1193",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2043.0962",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2535.3667",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1000.6823",="446.3473",="0",="0",="0",="0",="0",="0",="0"
="VISpl6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2.3962",="0",="104.6857",="0",="0",="0",="0",="0",="232.8493",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="551.1558",="0",="0",="0",="0",="0",="0",="0",="610.1741",="0",="599.345",="0",="0",="0",="0",="204.9212",="0",="0",="0",="236.3984",="0",="31.2332",="0",="0",="0",="0",="0",="0",="0",="909.7287",="0",="0",="206.0088",="0",="0",="0",="0",="0",="0",="1821.892",="0",="0",="308.3698",="750.3521",="0",="0",="0",="64.5061",="0",="245.7456",="0",="0",="0",="1601.5142",="0",="125.2948",="0",="0",="0",="0",="0",="0",="0",="417.1076",="0",="0",="0",="0",="0",="0"
="ACAd5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="136.7673",="0",="0",="0",="0",="0",="541.0435",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="438.3559",="1315.5862",="0",="0",="276.6241",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2111.1812",="148.7648",="0",="0",="0",="0",="0",="0",="0",="0",="1030.101",="0",="0",="0",="0",="0",="0",="56.5066",="0",="0",="0",="0",="0",="0",="0",="0",="0",="984.2531",="0",="0",="0",="0",="0",="0",="0"
