 ,221065_113,221475_122,221622_013,221622_016,221702_016,221702_017,221705_020,230110_035,233795_033,233795_034,233795_035,221705_024,221063_064,221063_065,221063_072,221065_116,221419_058,221419_060,221419_063,221423_021,221423_072,221705_019,231688_014,221065_097,221423_001,221423_002,221423_004,221423_008,221423_026,221423_066,231688_019,221423_027,221423_067,221481_263,231688_021,231688_025,231688_015
="VISal1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="11",="0",="0",="0",="0",="0",="3",="0",="3",="1",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="22",="0",="2"
="VISal2/3",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="14",="0",="0",="0",="0",="0",="1",="0",="2",="1",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal4",="0",="0",="1",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal5",="0",="0",="4",="1",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="2",="0",="6",="0",="0",="0",="2",="3",="7",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="1",="0",="0",="2",="2",="2",="0",="1",="0",="3",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="0",="0",="5",="20",="0",="3",="2",="0",="0",="20",="5",="15",="8",="1",="0",="38",="3",="1",="0",="13",="11",="5",="0",="0",="0",="0",="0",="12",="7",="1",="3",="0",="59",="1",="13",="87",="67"
="VISp2/3",="0",="0",="9",="1",="0",="0",="0",="0",="0",="3",="1",="17",="5",="0",="0",="46",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="4",="9",="0",="10",="0",="0",="0",="0",="0",="0"
="VISli6b",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl5",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="4",="0",="0",="0",="0",="2",="1",="7",="0",="3",="0",="0",="0",="0",="0",="0",="0"
="VISrl6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="2",="0",="0",="0",="0",="8",="4",="6",="0",="4",="0",="0",="0",="0",="0",="0",="0"
="ccs",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="3",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
="cing",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="1",="0",="0",="0",="3",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDpo6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDpo6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDv6a",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="2",="0",="3",="0",="1",="0",="0",="0",="0",="0",="0"
="AUDv6b",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="10",="0",="0",="0",="0",="0",="0",="0",="0",="9",="0",="1",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="1",="0",="18"
="RSPagl1",="0",="0",="0",="1",="0",="2",="0",="0",="0",="3",="0",="5",="0",="0",="0",="0",="10",="0",="10",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="TEa6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="2",="1",="1",="0",="0",="1",="0",="0",="0",="0"
="PERI1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0"
="ECT6b",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0"
="ar",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="2",="0",="1",="2",="0",="0",="0",="0",="0",="1",="4",="3",="2",="0",="0",="0",="0",="0",="0",="0"
="ENTm5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="3",="1",="0",="1",="0",="37",="10",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm6",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="25",="8",="0",="1",="4",="1",="0",="0",="0",="0",="0",="0"
