 ,221701_056,231687_008,233379_037,233795_072,221090_098,221417_015,221418_139,231686_050,233379_030,233379_097,233379_130,233666_218,221090_092,221090_093,221091_113,221091_125,221418_127,221418_131,221418_132,221418_135,221418_150,221477_059,221515_017,231687_014,233379_123,233667_269,233284_183
="VISa1",="0",="0",="184.133",="0",="23.904",="143.3435",="0",="0",="0",="2349.2618",="0",="0",="0",="0",="0",="0",="669.4545",="868.7926",="375.7145",="306.8214",="0",="0",="0",="0",="2381.0342",="0",="248.2907"
="VISa6a",="0",="0",="561.0962",="667.0999",="711.6093",="477.6042",="0",="1032.7384",="0",="625.7553",="363.9188",="0",="1049.2035",="0",="6.5299",="0",="0",="0",="0",="10.8313",="265.5818",="1015.5774",="500.9347",="674.9202",="0",="0",="0"
="VISa6b",="0",="0",="262.8158",="0",="108.3304",="1021.3933",="0",="0",="0",="0",="0",="0",="1.9916",="0",="666.5281",="0",="0",="0",="0",="24.1476",="0",="0",="357.5712",="0",="0",="0",="0"
="SSp-bfd5",="0",="0",="0",="173.828",="0",="0",="0",="0",="0",="0",="0",="0",="0",="25.554",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="241.1191"
="VISal1",="0",="0",="0",="3.6769",="0",="228.23309999999998",="0",="0",="0",="2532.0444",="0",="1612.4987",="390.1927",="0",="0",="0",="689.0826",="0",="0",="1521.1135",="0",="0",="51.6279",="2742.9921",="0",="0",="2591.9044"
="VISal2/3",="0",="0",="0",="193.3954",="0",="675.7088",="0",="0",="0",="1223.5125",="0",="1204.2755",="1373.4729",="0",="0",="0",="1189.5143",="0",="0",="2914.8307",="339.178",="0",="171.3382",="1862.7141",="0",="0",="0"
="VISrl6a",="0",="0",="0",="1054.5866",="605.9195",="0",="478.7933",="17.3205",="499.4264",="463.1653",="0",="524.4815",="649.8537",="370.6434",="0",="585.9696",="23.4566",="0",="0",="0",="0",="354.6443",="0",="133.4392",="0",="0",="0"
="VISrl6b",="0",="0",="0",="82.8372",="0",="0",="101.3972",="415.8372",="0",="0",="0",="121.3043",="58.2283",="402.0614",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="323.5033"
="dhc",="0",="0",="0",="1.9705",="0",="0",="0",="0",="0",="0",="444.0609",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="fp",="0",="0",="0",="2529.4773",="1349.1567",="5233.893599999999",="663.0019",="0",="1647.2741999999998",="0",="2881.3947",="1534.2703",="0",="1867.7964",="3610.6049000000003",="1485.412",="2317.2853",="1520.0363000000002",="2551.805",="1532.3528999999999",="844.2996999999999",="3298.8851",="2710.9357",="3611.3913999999995",="936.9133",="2398.7275",="0"
