 ,212074_008,221450_029,221450_031,221450_036,221450_037,221477_048,221478_364,221478_812,221481_201,221481_296,221481_299,221481_576,221481_602,221714_039,221737_017,221737_018,221737_048,221751_093,221751_094,221751_095,221751_100,221759_018,221759_019,221759_022,230061_037,230061_038,230110_021,230114_004,230114_005,230114_065,230114_066,233795_056,233795_064,233795_065,233795_066,233795_078,233795_079,212074_015,221419_050,221419_051,221419_052,221419_055,221477_062,221478_848,221480_107,221481_203,221481_205,221481_206,221481_208,221481_293,221481_297,221481_578,221481_625,221481_626,230061_039,230114_008,230114_011,230114_013,230114_015,233379_044,233379_046,233379_141,221422_019,230114_010,230114_023,230114_064,221422_002,221224_022,221225_018,221424_048,221426_066,221426_085,221538_001,221538_002,221538_005,221538_028,233285_130
="VISpm1",="2",="1",="42",="0",="11",="0",="0",="0",="2",="5",="1",="6",="0",="6",="5",="3",="1",="0",="3",="4",="6",="1",="6",="7",="0",="0",="6",="1",="5",="0",="2",="0",="0",="0",="1",="0",="0",="15",="10",="8",="5",="2",="8",="12",="4",="28",="71",="56",="0",="82",="62",="15",="21",="0",="0",="13",="17",="4",="0",="7",="1",="0",="0",="1",="15",="11",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm2/3",="1",="3",="43",="0",="10",="0",="0",="0",="0",="9",="5",="34",="4",="4",="4",="10",="4",="0",="0",="7",="14",="0",="5",="1",="0",="0",="0",="1",="1",="0",="1",="0",="0",="0",="2",="0",="0",="0",="1",="1",="7",="0",="3",="0",="4",="4",="24",="13",="0",="19",="4",="1",="5",="0",="0",="4",="3",="0",="0",="1",="0",="0",="0",="0",="6",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm4",="0",="0",="3",="0",="2",="0",="0",="0",="0",="1",="3",="5",="0",="0",="1",="7",="1",="0",="0",="4",="4",="0",="0",="1",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="6",="13",="8",="0",="4",="1",="0",="2",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm5",="1",="0",="10",="0",="5",="0",="0",="2",="0",="2",="6",="28",="0",="2",="2",="3",="1",="0",="1",="4",="7",="2",="0",="0",="0",="0",="1",="1",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="4",="4",="3",="0",="5",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="18",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli1",="2",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="6",="2",="0",="0",="4",="2",="3",="1",="0",="0",="1",="1",="9",="1",="0",="0",="0",="0",="0",="9",="4",="0",="0",="1",="3",="0",="0",="6",="3",="0",="0",="8",="1",="0",="1",="0",="4",="11",="1",="2",="0",="0",="4",="0",="7",="0",="0",="3",="2",="0",="2",="0",="1",="0",="0",="0",="1",="0",="7",="0",="0",="0",="0",="8"
="VISli2/3",="1",="0",="0",="1",="0",="0",="7",="1",="0",="1",="0",="2",="0",="6",="2",="7",="0",="3",="2",="7",="8",="0",="1",="2",="2",="2",="0",="1",="0",="1",="0",="2",="4",="1",="0",="0",="0",="0",="0",="0",="10",="0",="0",="0",="0",="1",="1",="0",="1",="0",="4",="0",="0",="1",="0",="7",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
="VISli4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="5",="1",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="1",="0",="0",="2",="8",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
="VISli5",="1",="0",="0",="0",="0",="1",="0",="1",="0",="4",="0",="2",="0",="4",="0",="2",="0",="3",="4",="5",="0",="1",="2",="4",="0",="3",="3",="1",="0",="2",="0",="3",="5",="3",="0",="0",="1",="2",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="3",="0",="0",="1",="0",="0",="0",="1",="0",="0",="1",="5",="2",="0",="12",="0",="2",="0",="0",="0",="1",="2"
="VISli6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="5",="0",="2",="0",="2",="0",="0",="0",="1",="2"
="VISli6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
