 ,221057_099,221057_123,221057_132,221057_133,221057_135,221057_137,221057_139,221057_149,221057_167,221481_241,221481_257,221481_258,221701_039,221701_041,221701_054,221701_060,221702_003,221733_181,230066_078,230066_079,230066_081,230066_082,230066_083,230066_084,230066_087,230066_121,230066_124,230066_125,233380_037,233666_171,233668_046,233668_056,233668_057,233668_058,233668_059,233668_061,233668_062,233668_063,233668_064,233668_065,233668_071,233668_072,233668_073,233668_075,233668_076,233668_096,233668_097,233668_100,233668_102,233668_103,233795_008,233795_009,233795_011,233795_012,233795_013,233795_044,233795_090,233795_098,233795_100,221090_098,221091_154,221417_015,221417_016,221417_043,221418_139,221478_278,221479_163,221479_164,221480_100,221481_237,221481_254,231685_255,231685_273,231685_274,231685_275,231685_279,231685_284,231685_286,231685_291,231686_057,233379_029,233379_030,233379_031,233379_040,233379_107,233379_109,233379_130,233380_036,233380_093,233666_139,233666_204,221090_092,221090_093,221091_113,221091_125,221091_141,221417_017,221418_131,221418_132,221418_136,221418_137,221418_138,221477_058,221477_059,221479_185,221479_236,231687_014,233666_049,233666_201,233667_154,233667_217,233667_242,233667_255,233667_256,233667_257,233667_267,233667_269,233667_289,233667_290,221065_081,221065_082,221091_171,231687_028,233667_270,233668_104,221365_065,233666_146,233666_149,233666_152,233666_161,233666_183,233666_189,233666_193,233666_196,233666_197,233666_202,233667_132,233667_156,233667_158,233667_165,233667_175,233667_179,233667_185,233667_232,233667_233,233667_234,233667_235,233667_237,233667_238,233667_239,233667_259,233667_262,233667_263,233667_264,233667_265,233667_272,233667_279,233667_280,233667_282,233667_292,221065_083,221065_084,221065_085,221517_009,221517_010,233281_120,233667_182,233667_231,233667_260,233667_261
="VISpl5",="3",="0",="0",="1",="13",="15",="1",="4",="0",="0",="2",="2",="0",="0",="2",="0",="5",="0",="1",="3",="17",="0",="0",="1",="0",="0",="0",="0",="2",="3",="1",="19",="3",="1",="2",="12",="17",="1",="1",="9",="10",="3",="15",="4",="0",="1",="0",="0",="0",="2",="0",="3",="3",="2",="12",="2",="0",="0",="0",="0",="0",="2",="0",="0",="7",="5",="1",="1",="0",="2",="1",="0",="5",="0",="0",="2",="0",="1",="0",="0",="3",="4",="0",="7",="0",="1",="4",="6",="1",="6",="1",="2",="2",="13",="2",="0",="0",="1",="8",="0",="3",="0",="1",="2",="1",="0",="1",="1",="1",="0",="0",="4",="2",="0",="5",="0",="1",="1",="1",="19",="0",="6",="9",="6",="0",="2",="0",="0",="1",="1",="0",="1",="2",="0",="1",="1",="0",="1",="2",="0",="1",="0",="1",="0",="0",="3",="1",="2",="2",="1",="3",="1",="0",="3",="1",="1",="0",="2",="1",="0",="43",="2",="4",="3",="1",="1",="1",="1",="5",="5"
="VISpm1",="2",="0",="0",="0",="0",="0",="0",="9",="0",="0",="0",="0",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="4",="3",="0",="0",="10",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="1",="1",="0",="1",="0",="0",="0",="1",="0",="0",="23",="16",="3",="13",="0",="0",="1",="18",="0",="0",="0",="0",="3",="1",="3",="12",="0",="0",="3",="0",="0",="0",="0",="14",="17",="0",="7",="22",="7",="0",="0",="0",="1",="5",="35",="7",="2",="4",="6",="1",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm2/3",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="13",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="1",="2",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="8",="0",="0",="0",="0",="0",="0",="11",="12",="0",="12",="0",="0",="5",="15",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="3",="16",="9",="0",="17",="17",="3",="0",="1",="0",="2",="3",="2",="5",="3",="3",="0",="1",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm4",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="8",="7",="0",="0",="0",="0",="0",="3",="6",="3",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm5",="5",="0",="0",="1",="0",="0",="0",="5",="0",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="3",="3",="3",="4",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="1",="0",="3",="1",="0",="2",="0",="0",="0",="3",="0",="0",="1",="1",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="2",="9",="0",="12",="14",="0",="0",="0",="1",="2",="4",="12",="0",="3",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm6a",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpor1",="3",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="1",="0",="3",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="2",="2",="0",="0",="0",="0",="0",="0",="0",="2",="0",="1",="6",="13",="0",="0",="2",="0",="4",="9",="0",="0",="2",="0",="0",="4",="0",="3",="0",="1",="21",="9",="3",="0",="0",="0",="23",="0",="0",="0",="0",="0",="9",="0",="1",="33",="0",="0",="1",="6",="2",="8",="0",="1",="0",="0",="0",="0",="0",="0",="1",="3",="1",="0",="0",="8",="0",="7",="0",="11",="0",="0",="0",="1",="0",="8",="0",="0",="4",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="4",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6"
="VISpor2/3",="5",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="3",="2",="4",="0",="0",="3",="0",="0",="11",="0",="0",="0",="0",="5",="2",="6",="0",="4",="9",="0",="0",="0",="0",="0",="2",="1",="2",="0",="8",="0",="22",="3",="0",="0",="0",="0",="0",="0",="0",="2",="3",="4",="1",="30",="0",="0",="10",="0",="0",="0",="0",="0",="15",="1",="0",="1",="0",="2",="0",="6",="57",="1",="2",="0",="0",="0",="26",="0",="0",="2",="0",="2",="4",="0",="1",="16",="0",="2",="6",="20",="4",="1",="0",="8",="0",="0",="0",="1",="0",="0",="2",="1",="1",="0",="0",="31",="0",="23",="0",="20",="0",="0",="3",="6",="0",="1",="7",="0",="2",="5",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="11",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3"
