 ,221701_056,231687_008,233379_037,233795_072,221090_098,221417_015,221418_139,231686_050,233379_030,233379_097,233379_130,233666_218,221090_092,221090_093,221091_113,221091_125,221418_127,221418_131,221418_132,221418_135,221418_150,221477_059,221515_017,231687_014,233379_123,233667_269,233284_183
="VISrl4",="0",="9",="0",="2",="1",="4",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="6",="3",="0",="0"
="VISrl5",="0",="3",="1",="24",="1",="0",="0",="0",="1",="0",="0",="1",="12",="3",="0",="0",="0",="0",="0",="0",="0",="5",="0",="9",="0",="0",="0"
="SSp-bfd1",="0",="0",="9",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
="SSp-bfd2/3",="0",="0",="1",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ll6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-un2/3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs5",="0",="0",="1",="26",="0",="0",="0",="0",="0",="1",="0",="7",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0"
="VISa1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="11",="0",="0",="0",="0",="0",="0",="1",="11",="2",="2",="0",="0",="0",="0",="6",="0",="1"
="VISa6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0"
="VISa6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="0",="0",="0",="1",="0",="2",="0",="0",="0",="11",="0",="11",="1",="0",="0",="0",="3",="0",="0",="10",="0",="0",="0",="6",="0",="0",="3"
="VISal2/3",="0",="0",="0",="1",="0",="0",="0",="0",="0",="3",="0",="4",="7",="0",="0",="0",="5",="0",="0",="11",="2",="0",="0",="5",="0",="0",="0"
="VISrl6a",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="dhc",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="fp",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="1",="2",="0",="0",="0",="0",="2",="0",="0",="0"
="ccs",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="scwm",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="3"
="SSp-bfd6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDd6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam4",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="5",="3",="0",="0",="0",="1",="2",="0",="0",="1"
="VISam5",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="4",="2",="0",="0",="2",="2",="0",="1",="0",="0"
="VISl5",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="5",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="4",="0",="0",="6",="0"
="VISpl1",="0",="0",="0",="0",="14",="16",="3",="0",="8",="0",="37",="0",="1",="9",="33",="3",="0",="1",="6",="0",="0",="11",="0",="11",="0",="1",="0"
="VISpl2/3",="0",="0",="0",="0",="0",="19",="9",="0",="1",="0",="28",="0",="7",="4",="48",="4",="0",="2",="7",="0",="0",="14",="0",="12",="0",="2",="0"
="VISpl4",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="2",="0",="0",="0",="5",="1",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0"
="VISpl5",="0",="0",="0",="0",="0",="2",="7",="0",="4",="0",="4",="0",="2",="2",="13",="2",="0",="1",="8",="0",="0",="2",="0",="1",="0",="1",="0"
="VISpor1",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="33",="0",="2",="8",="0",="1",="0",="0",="0",="0",="0",="1",="0",="8",="0",="8",="0"
="ACAv1",="0",="0",="0",="0",="6",="0",="0",="16",="1",="2",="9",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="24",="0",="5",="1",="1",="6"
="ACAv2/3",="0",="0",="0",="0",="1",="22",="0",="3",="0",="1",="9",="13",="4",="0",="4",="5",="0",="0",="0",="9",="0",="4",="0",="13",="2",="0",="0"
="RSPagl2/3",="0",="0",="0",="0",="12",="11",="1",="0",="1",="0",="1",="8",="0",="0",="15",="60",="3",="8",="22",="0",="17",="6",="3",="3",="2",="0",="0"
="RSPagl5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="7",="2",="1",="7",="0",="1",="1",="1",="3",="1",="0",="0"
="RSPd1",="0",="0",="0",="0",="5",="9",="7",="0",="1",="27",="1",="0",="0",="0",="16",="25",="25",="10",="7",="0",="15",="31",="0",="20",="0",="0",="0"
="RSPd2/3",="0",="0",="0",="0",="0",="5",="10",="0",="1",="0",="0",="0",="0",="0",="11",="21",="13",="8",="8",="0",="0",="9",="0",="8",="0",="0",="0"
="RSPd5",="0",="0",="0",="0",="0",="3",="3",="0",="0",="0",="1",="0",="0",="0",="0",="3",="3",="6",="0",="0",="0",="1",="1",="0",="4",="0",="0"
="RSPv1",="0",="0",="0",="0",="6",="1",="1",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="28",="0",="0",="1"
="RSPv2/3",="0",="0",="0",="0",="5",="0",="1",="0",="0",="1",="1",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="9",="0",="0",="0"
="RSPv5",="0",="0",="0",="0",="0",="0",="4",="0",="2",="0",="0",="0",="0",="2",="0",="1",="0",="0",="1",="0",="0",="0",="5",="1",="4",="0",="0"
="RSPv6a",="0",="0",="0",="0",="3",="0",="4",="0",="0",="0",="0",="0",="0",="12",="0",="1",="0",="14",="12",="4",="0",="0",="3",="4",="8",="0",="0"
="RSPv6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0"
="ec",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0"
="ar",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
