 ,221519_038,221519_039,221519_041,221519_042,221622_014,221622_015,221622_031,221622_032,221622_034,221622_035,221622_036,221622_038,221622_043,221714_054,221751_075,221751_076,221751_077,221751_078,221751_079,221751_080,221751_083,230108_027,230109_005,230109_006,230110_030,230110_032,233795_051,233795_052,233795_057,221062_068,221478_820,221622_030,221091_110,221424_049,221426_077,221477_049,221622_039,221426_078,221423_070,221714_049
="dhc",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ec",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="fp",="1",="0",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0"
="or",="1",="0",="0",="1",="0",="0",="1",="1",="0",="1",="3",="1",="2",="0",="0",="0",="0",="1",="0",="1",="2",="0",="0",="1",="0",="0",="0",="2",="0",="0",="1",="0",="0",="0",="3",="0",="0",="41",="0",="9"
="VISal6a",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="2",="0",="0"
="VISam1",="0",="6",="1",="2",="0",="0",="2",="3",="0",="1",="0",="2",="1",="2",="0",="0",="2",="0",="0",="3",="0",="0",="0",="0",="0",="1",="0",="0",="0",="18",="0",="7",="0",="4",="0",="13",="0",="0",="0",="0"
="VISam2/3",="0",="9",="0",="4",="0",="0",="1",="3",="0",="0",="0",="3",="0",="10",="0",="0",="1",="0",="1",="0",="1",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="4",="0",="2",="0",="1",="0",="0",="0",="0"
="VISam4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="2",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="0"
="VISam5",="0",="1",="2",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="1",="0",="0",="0",="1",="5",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="3",="0",="5",="0",="0",="0",="0"
="VISam6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0"
="VISl6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="14",="0",="0",="60",="10",="3"
="VISl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="19",="0",="0"
="VISp1",="0",="9",="10",="6",="0",="0",="0",="0",="23",="4",="22",="1",="111",="5",="1",="9",="21",="9",="9",="0",="42",="48",="4",="0",="3",="0",="10",="33",="1",="0",="4",="26",="20",="45",="0",="12",="175",="0",="75",="0"
="VISp2/3",="0",="1",="7",="4",="0",="0",="0",="0",="4",="2",="11",="0",="30",="0",="0",="5",="3",="14",="1",="1",="13",="16",="2",="0",="1",="2",="1",="4",="0",="0",="4",="0",="12",="2",="0",="1",="9",="0",="1",="0"
="VISp6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="2",="7",="0",="0",="1",="5",="1"
="VISp6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0"
="VISpm1",="0",="4",="32",="14",="0",="0",="1",="0",="4",="9",="0",="23",="7",="5",="0",="0",="1",="0",="10",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="2",="12",="57",="0",="9",="0",="63",="3",="0",="1",="0"
="VISpm2/3",="0",="0",="9",="8",="0",="0",="0",="0",="0",="22",="0",="16",="0",="11",="0",="0",="0",="1",="3",="1",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="15",="10",="0",="0",="0",="4",="0",="0",="0",="0"
="VISpm4",="0",="0",="0",="3",="0",="0",="0",="0",="1",="0",="0",="3",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="10",="0",="0",="0",="1",="0",="0",="0",="0"
="VISpm5",="0",="3",="2",="4",="0",="0",="0",="0",="0",="1",="0",="2",="2",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="12",="0",="1",="5",="5",="0",="0",="0",="0"
="VISpm6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0"
="RSPagl1",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="7",="0",="0",="0",="0",="3",="27",="0",="0",="0",="23",="0",="0",="1",="0"
="RSPagl2/3",="0",="3",="2",="4",="0",="0",="0",="0",="0",="0",="1",="1",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="5",="6",="0",="0",="0",="2",="0",="0",="0",="0"
="RSPagl5",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="4",="1",="0",="0",="1",="0"
="RSPd1",="0",="2",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="12",="0",="0",="0",="0",="0",="1",="0",="10",="0",="6",="0",="0",="2",="0"
="RSPd2/3",="0",="1",="0",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPv2/3",="0",="10",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0"
="RSPv5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0"
