 ,221057_135,221057_154,221057_160,221481_118,221481_258,221701_050,221701_055,230066_083,230066_125,231687_007,233379_034,233379_047,233379_114,233379_115,233379_124,233379_131,233668_046,233668_061,233668_075,233668_096,233795_009,221090_095,221090_097,221090_098,221091_154,221417_015,221417_016,221418_128,221418_129,221418_139,221478_278,221480_100,221702_004,231685_255,231685_273,233379_030,233379_036,233379_040,233379_097,233379_102,233379_107,233379_109,233379_118,233379_130,233379_142,233380_092,233380_093,233666_139,233666_190,221090_093,221091_113,221091_125,221091_141,221418_001,221418_127,221418_131,221418_132,221418_135,221418_136,221418_138,221418_150,221426_062,221479_170,221479_185,221479_236,221481_137,221515_017,231685_244,231687_014,233379_123,233666_049,233666_201,233667_154,233667_217,233667_256,233667_269,233667_289,233667_297,221065_081,221065_082,221091_171,231687_028,233284_183,233667_270,233668_104,221365_072,233666_146,233667_136,233667_171,233667_218,233667_221
="VISpl2/3",="4361.5814",="0",="0",="0",="227.5558",="0",="0",="763.0966",="308.6712",="0",="0",="0",="0",="0",="0",="0",="0",="2797.9114",="1104.8152",="0",="960.6382",="0",="0",="611.958",="663.9404999999999",="8056.3116",="561.1645",="0",="0",="2763.6383",="1653.2724",="1059.6113",="0",="1955.2057",="2848.886",="1618.3644",="0",="2890.1771",="0",="0",="1755.7484",="991.2707",="0",="8745.6772",="0",="0",="3715.488",="2899.2886",="0",="1050.2908",="11971.3758",="759.8476",="63.07",="0",="0",="783.2473",="3930.311",="0",="461.1446",="1671.4601",="0",="0",="0",="4893.1249",="384.2694",="0",="0",="0",="3356.4067",="0",="2251.3161",="3095.4631",="0",="41.023",="89.1336",="284.6467",="436.3502",="0",="649.9434",="0",="1926.2032",="270.778",="0",="769.9759",="0",="0",="0",="0",="0",="0",="0"
="VISpl4",="976.0377",="0",="0",="0",="14.4585",="0",="0",="175.9808",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1272.3921",="7.7482",="0",="654.4556",="0",="0",="244.4876",="0",="66.0882",="0",="0",="0",="141.3497",="459.9784",="325.9147",="0",="114.3327",="489.2494",="370.5976",="0",="832.2544",="0",="0",="0",="528.4803",="0",="832.2023",="0",="0",="1093.3052",="272.5825",="0",="11.3198",="689.4106",="287.0981",="0",="0",="0",="0",="11.4661",="0",="0",="11.0102",="0",="0",="0",="764.2554",="249.6087",="0",="0",="0",="116.4396",="0",="11.5919",="232.55",="0",="0",="0",="237.1961",="0",="0",="0",="0",="421.6577",="0",="0",="337.6375",="0",="0",="0",="0",="0",="0",="0"
="VISpl5",="5623.367",="0",="0",="0",="183.8996",="0",="0",="300.7719",="282.7918",="0",="0",="0",="0",="0",="0",="0",="174.7409",="4685.8447",="569.5143",="203.758",="835.4449",="0",="0",="183.2485",="0",="2526.7502999999997",="150.3212",="0",="0",="2185.3869",="1764.4089",="100.6719",="0",="940.2456",="1304.3174999999999",="720.0924",="0",="2967.341",="0",="0",="0",="881.7714",="0",="2873.8955",="0",="0",="1032.38",="1832.9132",="0",="1339.6145",="3073.1401",="998.5853",="0",="0",="0",="1151.0201",="2684.698",="0",="0",="0",="0",="0",="0",="2074.4551",="111.3719",="0",="0",="0",="25.5943",="0",="269.0328",="692.6863",="45.0154",="440.456",="0",="874.807",="19.9667",="0",="1326.6535",="0",="3735.7474",="2670.1867",="0",="1582.9677",="0",="0",="0",="0",="0",="0",="0"
="VISli5",="255.2768",="0",="0",="0",="5.4771",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="966.6402",="16.7737",="0",="1674.7959",="0",="0",="0",="0",="0",="0",="0",="345.8654",="0",="0",="933.4555",="137.2849",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="269.6307",="0",="0",="0",="1997.8973",="0",="0",="0",="0",="0",="0",="466.1288",="0",="0",="533.2567",="0",="0",="0",="0",="0",="0",="0",="0",="184.3235",="0",="0",="0",="0",="180.1555",="0",="0",="144.084",="0",="0",="0",="0",="32.1079",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpor1",="8.6425",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="24.4063",="0",="0",="0",="0",="0",="1159.1097",="2474.9494",="0",="0",="0",="0",="0",="0",="1100.0713",="0",="4554.9424",="1732.5288",="0",="2220.1175",="1833.0539",="0",="0",="0",="282.5221",="0",="5644.2065",="0",="0",="0",="271.4619",="0",="1104.023",="0",="70.9224",="0",="0",="0",="0",="0",="0",="0",="404.5023",="0",="0",="0",="0",="0",="0",="0",="0",="2979.9946",="0",="0",="1128.4155",="0",="1047.6883",="0",="1459.8475",="440.7387",="0",="154.0893",="168.7568",="75.9544",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpor2/3",="1096.8452",="0",="0",="0",="171.401",="0",="0",="17.0001",="0",="0",="0",="0",="0",="0",="0",="0",="0",="291.6534",="0",="0",="237.6255",="0",="0",="0",="424.3604",="0",="0",="0",="0",="189.0107",="0",="2200.4117",="0",="11667.4312",="565.3086",="0",="98.3994",="2046.772",="0",="0",="0",="390.6012",="0",="6121.6888",="0",="0",="500.6985",="2640.3434",="741.1381",="494.0908",="0",="2296.3763",="0",="0",="0",="0",="259.8802",="0",="0",="638.3992",="0",="0",="0",="0",="0",="0",="0",="0",="5902.3709",="0",="0",="6601.0794",="0",="4092.4377",="698.9673",="327.4809",="2332.824",="0",="182.1926",="2469.9202",="639.6349",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpor5",="2127.1715",="0",="220.6627",="0",="317.0936",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2064.5994",="0",="0",="1388.3258",="0",="0",="0",="504.7871",="0",="0",="0",="0",="1018.8423",="0",="437.4471",="0",="3519.7557",="178.9836",="0",="0",="822.1926",="0",="0",="0",="0",="0",="3337.7224",="0",="0",="1027.8853",="0",="494.9819",="1013.0127",="0",="123.9079",="0",="0",="0",="0",="2.9001",="0",="0",="424.5691",="0",="0",="0",="0",="0",="0",="0",="0",="455.301",="0",="0",="1347.9182",="0",="1298.6684",="1000.9998",="0",="4.7995",="0",="601.9104",="807.1473",="0",="324.1234",="0",="114.5545",="0",="0",="0",="0",="0",="0",="0"
="RSPagl1",="259.9656",="0",="40.301",="0",="54.7678",="12380.5845",="210.8157",="0",="0",="0",="0",="0",="0",="0",="8614.688",="0",="88.5463",="0",="15.6186",="510.2599",="0",="3312.9604",="0",="11123.3833",="4544.0553",="5440.2698",="178.5176",="0",="0",="8.7399",="3325.2174",="4128.0818",="277.077",="866.7114",="11575.4248",="542.1849",="3801.1265000000003",="8165.0279",="314.0616",="3913.5905",="2711.6908",="1439.5212",="0",="0",="0",="1081.4726",="0",="1000.2003",="0",="0",="1755.8682000000001",="17572.0273",="10029.3993",="10333.9564",="5159.2629",="601.7912",="4756.6954000000005",="0",="2022.276",="3229.0597",="5660.314899999999",="0",="1190.0933",="3784.9268",="13413.5245",="0",="551.3732",="16294.4846",="3113.5838",="152.4134",="1694.6465",="4032.8587",="249.4945",="4468.4465",="581.8253",="0",="5464.1211",="0",="1930.1638",="0",="0",="0",="213.1124",="184.2121",="0",="0",="0",="0",="0",="0",="4.9366"
="RSPagl2/3",="569.1845",="15.8992",="376.3813",="0",="227.2129",="2425.4429",="0",="0",="0",="0",="0",="0",="0",="0",="4392.2976",="0",="2114.8967",="157.1138",="508.6198",="993.098",="0",="667.8709",="0",="4466.3306",="2824.7234",="3047.4696",="1324.0775",="0",="0",="551.7962",="1964.6256",="1096.5786",="106.5464",="736.9588",="6201.3949",="102.4602",="1487.0797",="2297.4778",="179.2932",="1674.217",="966.7346",="1141.2557",="0",="15.7742",="0",="1003.0936",="0",="129.3555",="0",="0",="3373.5766999999996",="18743.0513",="4462.3685000000005",="5982.2543",="2603.0326",="1501.937",="9389.759",="0",="2237.5247",="6657.9657",="4373.4884",="785.7275",="2886.2751",="4806.7455",="1252.2164",="0",="497.2893",="11205.1413",="1410.703",="1420.2017",="930.3957",="3706.9096",="411.1646",="1828.6224",="295.7858",="0",="1820.5946",="0",="0",="0",="875.4307",="0",="0",="259.4769",="0",="0",="0",="0",="0",="0",="0"
="RSPagl5",="357.8679",="0",="1529.6918",="0",="0",="480.0291",="0",="423.2393",="42.1648",="0",="0",="0",="0",="0",="2343.163",="0",="4430.7855",="52.4204",="1031.2579",="1646.7369",="0",="420.7762",="0",="1924.2271",="304.611",="193.6498",="221.2279",="188.4301",="0",="2542.649",="242.1556",="549.0537",="0",="1391.1225",="936.9336",="315.5079",="1207.7046",="1444.173",="211.897",="27.817",="0",="314.9653",="0",="667.553",="0",="49.6099",="0",="2310.3423",="0",="0",="845.3634",="3555.15",="967.3856",="560.148",="1862.0087",="693.5824",="2713.8489",="0",="6.6839",="1175.2493",="1862.0379",="53.6594",="961.0384",="1705.5245",="3105.0233",="0",="646.1327",="2976.6865",="975.9514",="774.2932",="1109.9912",="690.4679",="1242.3123",="2767.6777",="293.1828",="0",="819.5643",="0",="43.5132",="516.2507",="205.442",="412.16420000000005",="0",="709.7796",="123.3393",="357.6882",="0",="0",="282.9834",="756.7367",="98.0695"
="RSPagl6a",="372.9406",="81.2622",="1894.9966",="0",="0",="937.391",="393.382",="1411.7489",="733.5771",="0",="0",="0",="0",="0",="0",="0",="1741.0583",="452.4961",="255.4246",="404.1284",="145.5863",="629.5968",="0",="432.7522",="573.366",="0",="478.7762",="257.9578",="0",="1082.2793",="1194.567",="768.6239",="781.0144",="524.5453",="335.1281",="301.4179",="202.32049999999998",="779.7106",="655.4295",="330.7672",="0",="0",="0",="697.22",="0",="437.8004",="0",="517.5964",="0",="390.6885",="694.7159",="1309.0436",="241.1433",="0",="0",="2751.5544",="3206.3659",="0",="477.645",="0",="723.9756",="892.11",="58.2498",="846.2909",="469.04380000000003",="0",="1071.2656",="342.9606",="231.3425",="1222.1601",="1667.7882",="351.5599",="923.5007",="1028.2479",="0",="871.7838",="754.4291",="0",="279.1444",="132.7206",="525.6976999999999",="2058.5715",="532.9225",="1628.3513",="2740.3389",="0",="1508.4868",="0",="522.6011",="176.8036",="183.5848"
="RSPd2/3",="306.7914",="0",="870.7649",="0",="0",="5014.0398",="0",="0",="0",="0",="0",="0",="0",="0",="458.7243",="0",="1273.4038",="0",="0",="46.9921",="1951.5665",="509.6839",="0",="622.7938",="11989.4578",="2039.9881",="4225.2267",="0",="0",="4088.4503999999997",="6798.9958",="2719.1685",="4635.1102",="1187.6856",="3573.5568",="763.6986",="1594.8485",="749.4955",="432.4455",="332.5652",="15.9246",="0",="0",="0",="0",="575.1709",="0",="1000.7525",="0",="0",="3017.5496",="7661.8858",="2741.2905",="1549.835",="6008.014499999999",="2636.9371",="2941.7286",="0",="0",="3895.5072",="566.2323",="1194.6338",="855.5388",="3895.1312",="1884.9732",="944.4901",="0",="6834.5169",="1418.9313000000002",="0",="626.5213",="460.6376",="0",="679.2393",="0",="0",="355.8141",="0",="583.8526",="1075.2335",="3838.3283",="0",="0",="0",="153.5858",="0",="20.9738",="0",="87.3717",="0",="0"
="RSPd5",="267.28",="203.1086",="1130.4983",="0",="0",="1113.1471",="0",="0",="0",="0",="0",="0",="0",="0",="1616.52",="0",="3488.1359",="616.3413",="0",="0",="341.8613",="913.7459",="0",="868.2347",="1219.2898",="799.4769",="2371.3227",="0",="0",="1149.333",="3144.1583",="1549.5114",="3222.7059",="404.8045",="2089.1698",="507.1517",="1369.1768",="480.8252",="1214.5471",="370.9561",="0",="254.3146",="0",="856.7175",="0",="474.2574",="0",="2903.0535",="0",="0",="343.5067",="3565.4447",="739.7796000000001",="0",="2600.1854",="1956.7906",="911.5649",="0",="121.8581",="336.4602",="477.2914",="4069.7505",="743.438",="3183.1041",="858.8926",="2017.444",="109.99860000000001",="2970.9345",="1245.1114",="969.8249",="1725.0043",="220.99689999999998",="0",="726.2117",="0",="0",="0",="0",="1462.3158",="1018.733",="2831.8761999999997",="659.794",="0",="215.503",="230.8007",="1993.8649",="269.5924",="0",="1127.5846",="0",="0"
="RSPd6a",="2579.3613",="486.3641",="416.286",="0",="485.5581",="1796.9924",="1008.1585",="2156.9515",="577.1481",="0",="0",="0",="0",="53.2548",="820.2323",="0",="227.5093",="539.5654",="840.7365",="0",="1396.3503",="175.2082",="0",="0",="2496.2184",="0",="1052.9114",="0",="0",="1211.5105",="364.9076",="766.4369",="918.5587",="0",="1885.276",="290.0174",="344.9383",="309.6123",="939.6182",="122.0122",="0",="665.0969",="0",="0",="0",="333.7949",="0",="2458.8174",="0",="921.285",="237.5677",="2038.1826",="332.4443",="0",="113.1975",="677.8756999999999",="1256.2137",="568.7334",="143.3398",="0",="1030.0692",="3778.5998",="1418.3957",="1022.2983",="990.7527",="2130.9307",="3199.3078",="633.4207",="375.9796",="2223.8456",="1058.355",="208.9542",="171.4121",="0",="0",="980.0999",="193.3644",="0",="1542.154",="676.8689",="2547.4415",="7213.0357",="1637.4539",="874.4884",="3023.8693",="1084.8675",="1084.5693",="24.6987",="793.9688",="699.2642",="814.6881"
