 ,221057_071,221057_090,221057_098,221057_107,221057_155,221057_156,221057_160,221364_052,221364_080,221364_081,221364_082,221364_083,221364_084,221364_085,221364_086,221364_087,221479_168,221479_216,221481_118,221481_256,221481_507,221481_513,221481_538,221701_039,221701_055,221701_057,221701_060,221701_062,221719_052,230066_089,230066_125,231570_009,231570_012,231685_259,231687_007,231687_008,231687_010,231687_016,233379_001,233379_037,233379_049,233379_050,233379_051,233379_052,233379_112,233379_115,233379_122,233379_124,233379_129,233668_076,233668_080,233668_097,233668_130,233668_170,233795_001,233795_072,233795_075,233795_087,233795_124,233795_125,221090_098,221417_015,221418_128,221418_129,221481_198,231686_050,233379_039,233379_040,233379_097,233379_100,233379_102,233379_130,233379_142,233380_036,233380_094,221090_092,221090_094,221090_099,221091_113,221091_141,221418_001,221418_127,221418_131,221418_132,221418_133,221418_135,221418_136,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221515_017,231687_014,233285_248,233379_123,233667_256,233667_289,231687_017,233284_183,233285_047,212073_012,221225_015,221365_066,221365_067,221365_068,221365_069,221365_072,221365_081,221426_061,231687_001,231687_002,231687_006,231687_012,233285_040,233285_044,233285_246,221536_026,221536_034,221719_054,233285_039,233285_041,233285_045
="VISl4",="18.2431",="0",="0",="0",="1416.8878",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="654.7415",="0",="0",="1240.167",="402.769",="0",="0",="0",="1124.7854",="0",="0",="0",="0",="0",="1176.6553",="0",="601.9921",="1100.9763",="0",="0",="0",="253.5175",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1613.5981",="0",="0",="0",="0",="0",="0",="0",="126.8027",="0",="184.2685",="0",="457.26239999999996",="0",="147.9799",="112.8945",="0",="0",="0",="0",="0",="0",="701.5503",="0",="324.5818",="0",="137.8454",="0",="216.8235",="0",="0",="73.7469",="128.0338",="0",="0",="0",="108.2411",="0",="0",="472.6172",="0",="60.1815",="0",="270.2038",="5051.1531",="174.3264",="0",="0",="2463.4309000000003",="4240.3117999999995",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl5",="998.2738",="0",="56.344",="0",="2759.6256",="0",="460.9944",="0",="0",="0",="0",="0",="0",="0",="0",="0",="501.19",="0",="0",="1050.2913",="0",="0",="0",="0",="2348.3372",="0",="0",="0",="0",="0",="1113.2073",="0",="1023.7604",="3671.2271",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="281.9841",="208.9078",="0",="0",="424.4444",="0",="0",="0",="2006.5234",="0",="191.4051",="401.6745",="410.1875",="0",="982.9386",="403.7852",="0",="0",="219.5606",="0",="0",="0",="1579.173",="0",="1426.8689",="0",="65.6866",="1542.98",="0",="0",="0",="0",="53.3779",="0",="282.2066",="0",="558.6943",="0",="48.8839",="488.2204",="0",="269.829",="0",="290.2254",="2710.0872",="0",="0",="355.1737",="1906.2521000000002",="4094.2948",="63.2691",="0",="0",="0",="573.5701",="0",="56.6685",="0",="0",="0",="0",="0",="0",="0",="0",="270.7416",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="2139.0212",="1322.2426",="936.5602",="693.2301",="663.6992",="347.6951",="234.6745",="163.0421",="5923.8724",="978.7765",="494.9685",="351.9582",="0",="703.1654",="3599.0496",="4097.3104",="2459.1454",="220.6839",="3299.9129000000003",="1454.7882",="407.2322",="2404.8528",="1262.4154",="1546.4684",="3059.5667",="950.6088",="3604.0723",="1811.6632",="2279.446",="3260.2896",="9141.7232",="956.6649",="760.821",="733.395",="3620.75",="3732.8646",="3102.1103",="13676.2887",="3582.0867",="4937.682",="222.9691",="792.3014",="1460.4534",="1184.3663",="3977.5004",="263.2938",="4441.8939",="1783.8802",="2230.6277",="2703.9143",="4131.3989",="96.242",="316.3984",="1338.8753",="80.9062",="3056.4839",="14173.6406",="1709.9043",="7811.8627",="2020.8206",="231.3214",="38148.2743",="7252.7552",="737.6656",="15357.0974",="0",="1029.875",="210.6238",="5642.3125",="283.0302",="151.2107",="8960.774",="0",="15026.5138",="10313.213",="12484.3328",="8251.6793",="24750.219",="6182.4085",="9361.5912",="15135.274",="928.9251",="3707.3609",="3575.1268",="136.9787",="1123.261",="1859.8326",="2991.0171",="9266.8179",="8812.0284",="11697.39",="4072.5839",="12061.4523",="6975.7286",="18118.1844",="0",="5783.5297",="10135.5064",="10896.350400000001",="0",="27118.5438",="4790.427",="0",="0",="0",="0",="0",="1208.8978",="0",="0",="3474.2621",="3134.6638",="1625.577",="131.3657",="50.7259",="183.112",="0",="100.8635",="0",="0",="46.3652",="0",="0",="0"
="VISp2/3",="7402.2255",="14215.0973",="11713.069",="1804.4178",="6313.5952",="8181.1882",="3079.1016",="5246.4679",="9919.2302",="6813.0962",="8794.6969",="6505.1259",="1103.4401",="4409.3925",="6361.1064",="6082.46",="15360.7002",="7265.6606",="13662.2482",="8142.5733",="15679.8773",="16792.2555",="7331.8236",="9386.2178",="5617.0768",="16481.7129",="16948.9078",="11457.4965",="7552.4687",="8401.3387",="6888.5755",="6450.5319",="6365.3759",="10344.6374",="10509.6922",="3678.8609",="4325.9468",="5462.2484",="6552.6763",="18716.8344",="3149.8336",="5198.0471",="5512.9703",="4390.0274",="9145.018",="552.7266000000001",="7404.9827",="11023.66",="12048.4151",="14116.0137",="9659.793",="3592.2177",="3385.5011",="5182.2247",="6232.8178",="6127.861199999999",="8941.0086",="15755.955",="8383.8407",="6351.902",="76.6351",="10111.0909",="9833.3857",="3970.8963",="8635.4826",="0",="1048.1966",="478.1857",="3895.4285",="1237.7126",="1985.1361",="6519.3778999999995",="36.4048",="3774.269",="27281.0799",="8660.1553",="4146.6041",="6255.885",="3471.8821",="5055.0348",="4397.9671",="270.7625",="5810.6616",="3029.6229",="74.4075",="1310.7459999999999",="232.8854",="1860.268",="2474.6395",="15961.4538",="2782.0728",="3571.7028",="8196.8504",="11431.8966",="3761.0497",="308.7428",="2594.0919",="5258.2559",="3194.5801",="0",="3944.2034",="1746.541",="0",="0",="0",="0",="0",="0",="0",="0",="1130.5805",="522.4402",="1032.7482",="243.3363",="399.8115",="823.6512",="6.228",="801.6573",="50.4638",="0",="201.9335",="2.1853",="204.543",="713.2785"
="VISp4",="3423.3573",="1439.7253",="1983.337",="1785.6915",="2905.8908",="2994.4271",="1090.5157",="725.9907",="1593.0328",="1152.3862",="991.2676",="882.0537",="594.7315",="1088.4989",="2373.8051",="2285.1497",="5690.6694",="4414.3884",="2834.3006",="2191.5968",="3707.3064",="3217.2248",="3576.0472",="2352.1582",="3971.3846",="4773.1322",="3437.0682",="4503.9802",="864.7129",="2202.0575",="4960.4429",="1795.8689",="2877.4499",="2261.1654",="1309.9345",="1294.3764",="969.0921",="3478.9348",="2088.4667",="2682.8567",="1843.522",="1029.7075",="2315.9974",="1567.6493",="4658.6674",="624.0195",="2731.6487",="1576.9711",="2148.9604",="3376.4013",="3737.3789",="3208.9864",="1091.9452",="2510.2385",="2041.6022",="533.6123",="4918.4258",="2014.3735",="1261.2349",="1558.837",="943.3422",="13873.605",="1571.948",="953.8101",="10151.9452",="33.0106",="2615.5173",="4165.1296",="4281.6381",="559.4064",="6103.7491",="16356.194",="575.6025",="11443.6685",="3816.4729",="3183.6127",="4490.2178",="6984.4986",="1959.6579",="1138.5136",="2636.2876",="923.5431",="2271.6528",="746.1591",="0",="1103.7419",="291.695",="1891.5",="2666.338",="5534.297",="3390.4835",="4390.781099999999",="3316.7606",="6186.5104",="3782.5088",="1194.4049",="4901.3087",="1440.0195",="805.2296",="0",="2007.6653",="796.22",="278.405",="286.2158",="0",="0",="6.9962",="0",="0",="7.9624",="1378.8234",="938.2384",="987.5404",="225.0775",="461.1746",="688.0129",="247.4628",="1080.2902",="2968.7232",="2650.49",="937.0927",="250.2001",="2558.974",="962.9946"
="VISp5",="6171.9716",="3323.5875",="5261.9566",="2668.989",="3688.1276",="4835.5105",="3200.9387",="3597.5251",="7927.3392",="4681.6953",="2570.9104",="1374.8697",="93.9683",="1424.0628",="5145.444399999999",="5135.2964",="2618.2562",="7980.7147",="9093.453000000001",="5692.2505",="4543.0731",="4822.4508",="15414.2754",="4726.204",="1507.2233",="4459.7728",="6204.7055",="1794.171",="2163.104",="2146.1684",="9384.9936",="4297.9126",="7089.178",="8202.2369",="1315.7913",="1755.6344",="1846.3519",="5687.4547",="3785.0071",="1777.5042",="4263.3907",="2508.7722",="3267.3772",="3049.5804",="5921.7717",="905.2858",="5636.0294",="2680.9387",="4701.3612",="6726.9074",="8735.2167",="3473.1798",="6152.9793",="9722.7916",="3827.9849",="1702.559",="8918.751",="4488.5267",="4493.5162",="3826.7071",="3894.2141",="6990.348",="4662.7151",="3028.8398",="3108.3814",="447.5501",="1918.2184",="1112.7449",="3598.9518",="2066.2016",="1974.6953",="10298.052500000002",="2692.089",="2066.9368999999997",="7321.1303",="8725.1163",="5571.0149",="11601.5248",="4008.4871",="6182.8583",="7637.9495",="5134.4081",="10557.9844",="2473.5326",="320.4806",="5062.6666",="1762.8188",="4957.9586",="4040.1545",="11076.5864",="9440.9291",="10320.6988",="8676.9905",="11902.1038",="9474.3272",="7176.9697",="8525.7361",="2748.4173",="2081.379",="13899.3226",="3454.0718",="2460.286",="6166.8893",="6795.0724",="1459.0843",="394.3551",="1390.4879",="3377.0423",="464.9952",="334.0981",="3199.0976",="6326.9118",="6493.8179",="3455.6125",="5493.3131",="6091.5113",="1706.8372",="8081.3522",="7823.3649",="4262.6085",="3938.3045",="878.3421",="1061.2485",="1629.8494"
="VISp6a",="205.4356",="394.9492",="1219.2486",="784.1726",="760.0935",="476.8319",="1498.1785",="261.7999",="316.2471",="497.0014",="691.4289",="0",="0",="57.1691",="464.7158",="739.509",="2340.1533",="1912.1062",="1666.1597000000002",="280.9102",="662.1512",="178.3703",="1492.9639",="2808.6342",="1927.3673",="641.8209",="1688.6872",="651.1259",="302.1431",="1036.8127",="1511.8483",="1903.1801",="1875.6423",="1279.9377",="0",="597.4982",="614.6237",="1336.779",="1046.8583",="357.4758",="841.6394",="199.3081",="0",="377.7997",="943.0013",="789.3242",="466.8753",="1132.986",="1663.7029",="1349.216",="537.9824",="748.6978",="1912.8484",="1148.5088",="1651.3073",="0",="274.5226",="1661.3745",="375.0278",="313.8079",="3423.6131",="4194.3148",="1976.3313",="3069.3176",="1194.2006000000001",="651.871",="393.8635",="1777.5436",="1456.7189",="182.6226",="658.4313",="1554.8952",="980.2941000000001",="3609.6749",="2090.355",="1780.1564",="1142.2008",="1733.1236000000001",="2610.286",="651.3399000000001",="2615.8211",="1218.4795",="1844.0993",="2092.0471",="2140.2907",="2409.3642",="1000.8441",="2464.6344",="1372.202",="8118.5725999999995",="2024.263",="3546.9467",="2497.3542",="5903.0616",="1441.4027",="2187.6181",="1220.1485",="3344.9435",="3137.8954",="36738.2072",="4785.3327",="4324.9518",="2894.9462",="289.2273",="1379.3664",="749.7416",="857.8239",="279.828",="1221.0399",="358.1442",="348.6242",="2324.2482",="1645.1188",="891.4728",="3938.0909",="3388.1678",="1029.8016",="1435.445",="2163.4688",="1563.7503",="100.7304",="1871.7592",="1249.0769",="929.829"
="VISp6b",="144.4756",="0",="0",="1093.2974",="408.5037",="100.2269",="0",="42.9602",="188.13",="38.6324",="43.2515",="0",="0",="0",="117.9393",="31.8284",="10.6866",="16.8263",="148.6611",="0",="0",="11.7006",="64.1928",="562.3497",="617.0975",="415.9123",="402.415",="292.1914",="0",="103.8024",="202.8117",="0",="202.0162",="0",="0",="0",="231.3702",="83.4466",="368.6294",="13.358",="76.4777",="38.2962",="0",="9.7533",="0",="444.2354",="0",="137.0233",="529.5332",="50.7411",="257.6133",="0",="107.4916",="82.5648",="510.9768",="0",="0",="0",="0",="0",="169.8521",="1659.213",="314.8123",="147.3224",="87.7179",="179.8906",="549.3837",="515.2963",="414.9527",="45.3897",="338.1228",="1197.3233",="154.2101",="168.7877",="508.8842",="820.518",="340.8843",="702.5181",="542.415",="88.3251",="664.2487",="186.0028",="202.5745",="398.6809",="67.036",="167.7378",="123.4775",="201.0732",="356.7768",="555.9354",="40.9006",="179.9508",="767.7781",="1089.0166",="609.6953",="109.0052",="132.6085",="1613.5136",="1370.1057",="6268.340700000001",="2771.5366",="2934.9509",="533.5312",="0",="246.2842",="44.3131",="75.8543",="154.9922",="108.4781",="45.576",="397.0358",="487.1806",="104.8671",="59.2893",="42.4308",="56.3731",="0",="77.43",="504.27",="622.68",="0",="493.7491",="400.7331",="102.967"
="VISpm1",="1066.5218",="1818.9107",="134.172",="2922.7161",="0",="12.5097",="124.9234",="0",="0",="0",="0",="0",="0",="42.3712",="0",="106.8115",="0",="199.2845",="0",="0",="0",="224.4356",="0",="1385.201",="2351.7843",="527.8467",="0",="1420.8195",="0",="1704.1683",="198.2615",="0",="0",="0",="0",="0",="0",="0",="455.1874",="0",="0",="309.6073",="1095.8185",="1435.6252",="0",="0",="537.7852",="1304.6673",="0",="0",="490.524",="518.5313",="26.573",="1345.1541",="0",="0",="0",="0",="284.2098",="5.8262",="927.0973",="398.6508",="282.3932",="223.8518",="0",="0",="257.6104",="336.81190000000004",="3824.567",="502.7982",="971.2398",="1374.7965",="0",="570.5522",="88.3307",="0",="1203.329",="1080.0511",="0",="4789.513",="3957.0136",="1440.3859",="650.4659",="5765.2672999999995",="867.6191",="974.9999",="1423.3902",="0",="510.8542",="1294.7217",="0",="130.649",="440.7562",="1317.7138",="1622.0689",="0",="169.0203",="18.4631",="1064.3095",="0",="4637.5494",="1822.6601",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="11.4279",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm2/3",="2891.6861",="3873.8579",="2772.489",="3623.0848",="0",="2729.8173",="0",="0",="0",="0",="0",="0",="0",="113.4025",="0",="0",="0",="1341.4658",="0",="0",="240.0614",="1647.3196",="0",="2938.8703",="1488.6707",="7373.0841",="417.7503",="5591.4783",="294.364",="4907.7626",="107.6511",="0",="149.6502",="0",="0",="0",="0",="0",="691.6379",="123.6873",="407.8044",="518.4181",="969.3132",="2297.5289",="0",="0",="476.6488",="1056.8661",="0",="0",="161.3336",="1493.2955",="1678.6376",="4709.5614",="0",="0",="0",="0",="0",="244.4083",="1017.9666",="73.4242",="149.643",="194.6548",="0",="0",="789.8403",="0",="1383.1059",="1083.5878",="930.6612",="268.8429",="0",="425.0072",="982.9345",="0",="406.0812",="1280.4967",="709.8784",="3316.3123",="2677.9359",="2749.3789",="3352.3358",="8173.4653",="672.0159",="539.3848",="1379.5261",="302.7307",="1339.5511999999999",="2642.3635",="0",="942.277",="1195.058",="2349.0438",="1422.8284",="0",="1197.6863",="169.1534",="289.6784",="0",="0",="920.5364",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="223.6621",="0",="0",="0",="0",="0",="0",="153.7717",="0"
="VISpm4",="685.546",="1302.1291",="703.7904",="929.8889",="0",="528.0286",="0",="0",="0",="0",="0",="0",="0",="0",="0",="82.186",="0",="382.383",="44.9978",="0",="0",="162.7741",="0",="544.0615",="455.2459",="744.4739",="0",="1362.5447",="0",="468.9318",="0",="0",="0",="0",="0",="0",="0",="0",="499.4625",="0",="20.8166",="340.5087",="517.2267",="125.1978",="0",="0",="0",="0",="0",="0",="206.0598",="68.9242",="394.2006",="857.8163",="0",="0",="0",="0",="0",="285.7813",="349.0028",="0",="0",="0",="0",="0",="0",="0",="1326.6893",="98.9958",="88.94",="21.1626",="0",="0",="81.8789",="0",="0",="153.6231",="0",="684.7148",="478.6405",="1107.7117",="1125.4142",="1965.0765000000001",="336.7716",="1010.0789",="534.3561",="0",="34.5719",="1909.2263",="0",="102.4738",="12.37",="2064.0654",="270.5939",="0",="379.0577",="0",="0",="0",="0",="386.3057",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="96.0153",="0",="235.8864",="0",="0",="0",="116.6542",="1854.0741",="0"
