 ,221057_135,221057_154,221057_160,221481_118,221481_258,221701_050,221701_055,230066_083,230066_125,231687_007,233379_034,233379_047,233379_114,233379_115,233379_124,233379_131,233668_046,233668_061,233668_075,233668_096,233795_009,221090_095,221090_097,221090_098,221091_154,221417_015,221417_016,221418_128,221418_129,221418_139,221478_278,221480_100,221702_004,231685_255,231685_273,233379_030,233379_036,233379_040,233379_097,233379_102,233379_107,233379_109,233379_118,233379_130,233379_142,233380_092,233380_093,233666_139,233666_190,221090_093,221091_113,221091_125,221091_141,221418_001,221418_127,221418_131,221418_132,221418_135,221418_136,221418_138,221418_150,221426_062,221479_170,221479_185,221479_236,221481_137,221515_017,231685_244,231687_014,233379_123,233666_049,233666_201,233667_154,233667_217,233667_256,233667_269,233667_289,233667_297,221065_081,221065_082,221091_171,231687_028,233284_183,233667_270,233668_104,221365_072,233666_146,233667_136,233667_171,233667_218,233667_221
="VISpor1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="9",="0",="0",="0",="0",="0",="0",="3",="0",="21",="9",="0",="9",="9",="0",="0",="0",="1",="0",="33",="0",="0",="0",="1",="0",="8",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="8",="0",="0",="7",="0",="11",="0",="8",="0",="0",="4",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpor2/3",="3",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="57",="1",="0",="0",="4",="0",="0",="0",="1",="0",="16",="0",="0",="2",="6",="4",="1",="0",="8",="0",="0",="0",="0",="1",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="31",="0",="0",="23",="0",="20",="3",="1",="7",="0",="2",="5",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpor5",="3",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="6",="0",="0",="0",="4",="0",="0",="0",="0",="0",="8",="0",="0",="1",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="2",="0",="4",="5",="0",="1",="0",="13",="4",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0"
="RSPagl1",="3",="0",="0",="0",="1",="44",="2",="0",="0",="0",="0",="0",="0",="0",="27",="0",="2",="0",="1",="2",="0",="18",="0",="37",="16",="11",="2",="0",="0",="0",="9",="13",="2",="1",="51",="0",="8",="31",="4",="11",="11",="6",="0",="0",="0",="4",="0",="4",="0",="0",="8",="53",="33",="24",="16",="8",="16",="0",="8",="9",="12",="0",="5",="18",="84",="0",="5",="38",="6",="3",="7",="17",="4",="10",="5",="0",="17",="0",="17",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="1"
="RSPagl2/3",="1",="1",="1",="0",="1",="3",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="9",="1",="3",="8",="0",="4",="0",="12",="5",="11",="2",="0",="0",="1",="9",="2",="0",="0",="18",="1",="5",="10",="0",="5",="1",="0",="0",="1",="0",="1",="0",="1",="0",="0",="15",="60",="19",="30",="3",="8",="22",="0",="3",="28",="17",="3",="6",="16",="6",="0",="3",="30",="3",="2",="4",="6",="1",="7",="1",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl5",="0",="0",="1",="0",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="3",="6",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="9",="0",="0",="0",="7",="2",="2",="2",="1",="7",="0",="0",="1",="1",="0",="2",="3",="3",="0",="1",="6",="3",="1",="2",="2",="1",="5",="1",="0",="3",="0",="1",="1",="1",="5",="0",="4",="0",="0",="0",="0",="3",="7",="2"
="RSPagl6a",="0",="0",="1",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="2",="0",="1",="0",="2",="0",="0",="0",="0",="0",="1",="1",="0",="1",="0",="0",="2",="1",="0",="0",="0",="0",="7",="0",="2",="2",="0",="2",="2",="0",="0",="0",="1",="2",="0"
="RSPd2/3",="0",="0",="4",="0",="0",="15",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="5",="0",="0",="0",="6",="0",="0",="0",="20",="5",="11",="0",="0",="10",="40",="8",="3",="1",="8",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="11",="21",="6",="6",="13",="8",="8",="0",="0",="5",="0",="3",="1",="8",="6",="6",="0",="19",="8",="0",="4",="1",="0",="1",="0",="0",="1",="0",="7",="5",="7",="0",="0",="0",="1",="0",="1",="0",="2",="0",="0"
="RSPd5",="0",="1",="4",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="7",="0",="0",="0",="0",="0",="0",="0",="1",="3",="4",="0",="0",="3",="21",="2",="5",="1",="3",="0",="2",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="8",="0",="0",="0",="3",="0",="0",="3",="6",="0",="0",="0",="0",="0",="10",="4",="1",="0",="12",="1",="3",="0",="4",="7",="1",="0",="1",="0",="0",="0",="0",="14",="2",="6",="3",="0",="1",="0",="21",="1",="0",="8",="0",="0"
="RSPd6a",="0",="0",="2",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="1",="0",="4",="0",="0",="1",="0",="0",="1",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="3",="0",="0",="0",="0",="1",="3",="1",="0",="0",="0",="1",="5",="2",="0",="1",="4",="7",="0",="1",="3",="2",="0",="1",="0",="0",="0",="0",="0",="10",="0",="4",="13",="0",="2",="1",="2",="0",="0",="0",="2",="1"
