 ,221057_058,221057_059,221057_061,221057_062,221057_063,221057_074,221057_075,221057_076,221057_077,221057_078,221364_054,221364_055,221364_130,221364_131,221364_132,221364_134,221364_135,221364_136,221481_476,221703_215,221703_221,221703_248,221703_266,221703_328,221728_157,221728_158,230011_191,230011_192,230011_205,230011_206,230011_208,230011_209,230011_216,230066_130,230066_131,230066_141,230066_142,230116_001,230116_005,221089_035,221229_106,221229_119,221478_225,221479_149,221703_268,231686_047,221089_037,221229_105,221416_017,221474_206,221476_071,221476_092,221478_209,233285_098,221474_195,221474_202,221474_203,221476_070,233282_078,233285_080,233285_081,221367_101,221367_130,233285_099
="ACAv1",="3",="13",="1",="0",="0",="5",="10",="0",="0",="16",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="2",="5",="22",="0",="0",="2",="0",="4",="6",="0",="0",="0",="8",="0",="0",="5",="0",="1",="0",="3",="2",="0",="0",="0"
="ACAv2/3",="0",="3",="0",="0",="0",="4",="0",="0",="0",="4",="0",="0",="0",="2",="2",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="4",="0",="0",="1",="0",="5",="0",="0",="0",="0",="3",="11",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBm2/3",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBm5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl1",="2",="6",="0",="0",="0",="1",="8",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="2",="3",="6",="4",="0",="0",="0",="0",="0",="1",="11",="0",="2",="2",="0",="0",="12",="6",="0",="0",="1",="1",="59",="0",="1",="0",="0",="2",="0",="0",="0",="8",="9",="0",="1",="0"
="RSPagl2/3",="8",="12",="0",="0",="8",="0",="5",="0",="0",="1",="0",="0",="0",="2",="0",="0",="1",="0",="2",="1",="0",="0",="3",="7",="0",="0",="0",="0",="1",="0",="7",="1",="1",="0",="0",="17",="3",="2",="7",="0",="4",="0",="0",="11",="2",="4",="0",="2",="1",="10",="21",="0",="0",="1",="0",="3",="0",="0",="0",="2",="2",="0",="0",="0"
="RSPagl5",="3",="7",="0",="0",="4",="1",="2",="0",="2",="4",="0",="0",="0",="1",="0",="0",="2",="0",="4",="0",="0",="0",="1",="12",="2",="0",="0",="0",="3",="4",="4",="0",="2",="3",="0",="7",="33",="2",="5",="0",="5",="1",="0",="11",="3",="0",="0",="0",="5",="2",="16",="4",="0",="0",="6",="2",="0",="6",="1",="3",="2",="0",="2",="0"
="RSPagl6a",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="4",="0",="3",="1",="0",="0",="0",="1",="1",="0",="2",="5",="0",="0",="8",="7",="5",="15",="0",="4",="5",="0",="0",="0"
="RSPd6a",="2",="0",="2",="0",="1",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="6",="14",="0",="0",="0",="0",="5",="21",="2",="2",="3",="1",="0",="0",="15",="16",="5",="9",="2",="2",="1",="0",="0",="0"
="VISa1",="6",="0",="4",="11",="10",="0",="0",="1",="0",="0",="1",="2",="0",="5",="2",="3",="3",="3",="0",="8",="22",="0",="0",="0",="1",="9",="5",="15",="3",="3",="1",="2",="0",="9",="5",="1",="4",="0",="0",="0",="8",="0",="0",="0",="0",="0",="0",="3",="0",="5",="12",="0",="17",="0",="0",="0",="0",="0",="3",="1",="3",="0",="0",="0"
="VISa2/3",="13",="0",="1",="4",="4",="0",="0",="1",="0",="0",="4",="7",="0",="2",="3",="2",="0",="7",="10",="1",="29",="0",="2",="0",="2",="11",="9",="20",="10",="4",="1",="0",="3",="4",="0",="7",="10",="0",="0",="0",="3",="0",="3",="12",="0",="0",="0",="5",="2",="13",="4",="0",="20",="0",="0",="2",="0",="0",="2",="0",="2",="1",="0",="1"
