 ,221057_058,221057_059,221057_061,221057_062,221057_063,221057_074,221057_075,221057_076,221057_077,221057_078,221364_054,221364_055,221364_130,221364_131,221364_132,221364_134,221364_135,221364_136,221481_476,221703_215,221703_221,221703_248,221703_266,221703_328,221728_157,221728_158,230011_191,230011_192,230011_205,230011_206,230011_208,230011_209,230011_216,230066_130,230066_131,230066_141,230066_142,230116_001,230116_005,221089_035,221229_106,221229_119,221478_225,221479_149,221703_268,231686_047,221089_037,221229_105,221416_017,221474_206,221476_071,221476_092,221478_209,233285_098,221474_195,221474_202,221474_203,221476_070,233282_078,233285_080,233285_081,221367_101,221367_130,233285_099
="ACAd5",="4965.169",="1532.8332",="9802.2394",="4689.5555",="1702.6012",="2527.1191",="2812.4415",="0",="0",="56.0247",="0",="0",="6265.006",="6295.465",="3431.0893",="0",="6524.0443",="0",="1231.2914",="1284.1931",="5668.8953",="3647.1337",="0",="0",="0",="0",="0",="510.1022",="0",="0",="0",="362.1666",="0",="0",="2890.1331",="0",="2319.3938",="753.2475",="0",="0",="8465.5923",="1434.6945",="7642.2515",="0",="0",="689.7932",="1076.4145",="5777.783",="2348.0662",="434.6269",="0",="8596.9456",="2297.5592",="0",="0",="7837.3952",="0",="3968.3105",="168.7995",="476.168",="386.685",="0",="0",="0"
="ACAd6a",="1450.4918",="725.5304",="2126.86",="1035.1212",="0",="791.4428",="841.2175",="0",="0",="798.5864",="0",="0",="3337.6856",="783.7253",="0",="0",="1202.1587",="0",="217.9235",="2532.5517",="583.1946",="2245.9619",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="954.8416",="0",="1004.9432",="240.6066",="0",="0",="5227.5343",="5306.8946",="1447.299",="0",="0",="3106.9005",="2367.8296",="2229.8262",="6245.3378",="966.6538",="0",="1578.1108",="277.8109",="0",="0",="12942.9631",="0",="5618.8667",="0",="0",="0",="0",="0",="0"
="ACAv1",="595.7825",="3872.3337",="105.6906",="0",="0",="1510.1392",="1801.5349999999999",="0",="0",="3378.753",="0",="0",="0",="115.3909",="0",="0",="0",="0",="0",="0",="0",="476.1868",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="389.237",="0",="0",="0",="0",="0",="609.4545",="1065.4197",="3814.3147",="0",="0",="516.3818",="0",="748.317",="1796.3052",="0",="0",="0",="922.692",="0",="0",="712.8357000000001",="0",="96.5863",="0",="1121.4839",="641.4187",="0",="0",="0"
="ACAv2/3",="52.6907",="2598.459",="0",="0",="0",="1217.5588",="293.781",="0",="0",="881.4824",="0",="0",="172.5389",="478.0765",="168.9553",="0",="0",="0",="0",="0",="0",="499.2533",="0",="0",="0",="0",="0",="0",="0",="0",="0",="53.5614",="0",="0",="1058.7564",="0",="0",="1008.5844",="0",="0",="229.1144",="653.3303",="1050.0413",="0",="0",="0",="0",="442.9749",="3100.9193",="0",="0",="354.3373",="294.7902",="0",="0",="346.8154",="0",="305.4747",="0",="0",="0",="0",="0",="0"
="ORBm2/3",="527.902",="550.5777",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="149.1795",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="237.0675",="146.7433",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBm5",="537.5115",="244.6391",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="348.6263",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="285.5965",="0",="0",="0",="0",="217.705",="0",="0",="22.6519",="0",="0",="0",="0",="0",="0",="1010.1107",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl1",="144.8224",="2731.417",="0",="0",="585.7143",="73.5296",="1841.7584",="0",="0",="0",="0",="0",="0",="693.6352",="0",="0",="7.9337",="0",="0",="0",="101.6598",="0",="135.4637",="416.6115",="46.5262",="0",="400.9093",="102.0073",="61.979",="312.2709",="2618.4075",="1268.0155",="0",="0",="0",="0",="0",="510.3565",="1645.6058",="0",="444.2693",="617.3216",="392.9413",="0",="4263.7789999999995",="1984.6732",="0",="0",="20.3295",="55.099",="21686.2618",="0",="679.3637",="0",="0",="134.5117",="0",="0",="123.6591",="4201.6586",="6632.433",="0",="21.0138",="0"
="RSPagl2/3",="2370.7469",="3599.918",="0",="0",="2270.9545",="15.2861",="2338.1557",="0",="0",="124.7462",="0",="0",="0",="275.1345",="0",="0",="463.9652",="0",="286.4221",="136.8775",="395.013",="0",="127.3506",="3312.4815",="393.8797",="0",="0",="0",="594.5677000000001",="428.0324",="4087.9941",="284.557",="176.6451",="0",="0",="5994.7303",="428.1582",="925.4007",="8658.1198",="0",="1612.1902",="12.0677",="0",="2111.324",="1100.6756",="1492.2928",="0",="648.7909",="303.0644",="1652.1257",="10158.7966",="0",="0",="49.3643",="0",="1184.9326",="0",="0",="68.2658",="2207.2329",="1593.2999",="0",="0",="0"
="RSPagl5",="1037.3369",="3981.8001",="293.5472",="0",="1534.8486",="1372.7765",="755.1413",="0",="1107.6001",="739.8418",="0",="0",="748.8155",="836.3338",="0",="0",="836.2229",="0",="447.3409",="0",="0",="0",="158.8484",="6820.5382",="932.0033",="0",="0",="0",="1609.4495",="2320.0442",="1854.2386999999999",="1889.6357",="1277.2052",="235.6756",="0",="2477.2546",="5962.4976",="433.8737",="3237.3039",="0",="1931.4205",="2488.034",="0",="4365.8327",="1543.4598",="1530.9441",="394.8081",="659.5759",="2175.1737",="134.5218",="7178.5680999999995",="300.8537",="0",="14.9248",="1105.1249",="451.7363",="0",="2286.2343",="448.5914",="3832.091",="1821.0566",="0",="561.039",="0"
="RSPagl6a",="958.2179",="455.1108",="672.6791",="0",="1167.1",="618.3269",="1426.398",="10.1201",="23.9253",="156.2531",="0",="802.3984",="804.059",="756.0848",="36.1916",="0",="1597.9885",="0",="1132.9319",="1047.1781",="130.0854",="1148.5286",="0",="1237.4733",="311.6185",="0",="263.8252",="0",="295.3232",="105.8767",="359.4298",="387.6876",="0",="509.8977",="426.9467",="523.0153",="132.2101",="956.6375",="356.7774",="0",="2130.1467000000002",="1743.1664",="693.912",="60.0017",="865.627",="1774.5781000000002",="976.9873",="1070.164",="1964.7939999999999",="153.372",="3742.0676",="2191.5738",="362.0319",="0",="2999.9487999999997",="2604.3591",="971.6399",="5337.7136",="150.0991",="4448.2454",="3092.4995",="0",="722.2983",="0"
