 ,212074_008,221450_029,221450_031,221450_036,221450_037,221477_048,221478_364,221478_812,221481_201,221481_296,221481_299,221481_576,221481_602,221714_039,221737_017,221737_018,221737_048,221751_093,221751_094,221751_095,221751_100,221759_018,221759_019,221759_022,230061_037,230061_038,230110_021,230114_004,230114_005,230114_065,230114_066,233795_056,233795_064,233795_065,233795_066,233795_078,233795_079,212074_015,221419_050,221419_051,221419_052,221419_055,221477_062,221478_848,221480_107,221481_203,221481_205,221481_206,221481_208,221481_293,221481_297,221481_578,221481_625,221481_626,230061_039,230114_008,230114_011,230114_013,230114_015,233379_044,233379_046,233379_141,221422_019,230114_010,230114_023,230114_064,221422_002,221224_022,221225_018,221424_048,221426_066,221426_085,221538_001,221538_002,221538_005,221538_028,233285_130
="VISa5",="1498.2642",="0",="0",="0",="211.1881",="5417.1151",="4198.9691",="1897.066",="348.7217",="106.0655",="1341.6168",="1862.1135",="162.7982",="1968.2917",="278.5146",="6958.9954",="1548.8611",="2543.7436",="1277.2242",="3611.9467",="4927.7641",="0",="0",="3871.2384",="2439.5292",="0",="1548.3742",="4071.0514",="1729.798",="1112.3641",="2920.8559",="2879.5843",="98.0622",="0",="1509.32",="0",="169.6794",="617.087",="803.0691",="1592.0836",="0",="1007.82",="2542.8224",="2292.552",="1785.6771",="0",="0",="0",="0",="0",="0",="1902.3197",="0",="323.651",="0",="769.6935",="727.5614",="1817.5082",="104.5549",="275.0659",="587.8499",="0",="0",="0",="2422.9905",="341.8289",="1473.5084",="1971.0375",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl2/3",="472.9174",="29.088",="0",="4072.8422",="297.9862",="896.4285",="156.6487",="3529.3752",="8626.971",="1528.918",="3565.3554",="3001.0109",="9799.6846",="1007.5372",="328.3248",="133.7622",="2485.2734",="609.3331",="6001.272",="1409.9087",="527.5704",="0",="55.7792",="1671.9549",="90.521",="0",="132.3604",="890.0692",="439.6767",="360.0911",="470.4017",="1297.8148",="0",="661.9509",="1627.6034",="16762.3362",="563.1525",="56.6841",="3079.9693",="1640.1855",="1436.0892",="0",="0",="2025.0742",="673.5563",="990.5805",="4716.0056",="1898.8681",="5781.3986",="399.3455",="0",="597.4414",="3296.9268",="2959.7521",="0",="1548.537",="0",="0",="5481.704100000001",="2149.5766000000003",="604.2945",="431.1862",="0",="0",="832.1065",="0",="0",="233.4895",="413.2636",="0",="932.8413",="0",="0",="73.5743",="0",="0",="0"
="VISrl4",="1455.467",="0",="0",="1481.438",="120.8693",="278.1495",="8.5696",="1348.7423",="2371.8575",="1001.0109",="897.0908",="3647.0909",="1619.4946",="529.8088",="177.9253",="23.5533",="1326.5348",="1089.913",="2716.7307",="510.905",="215.9059",="0",="0",="1509.2613000000001",="381.2756",="0",="457.9722",="660.9391",="209.893",="245.8046",="256.8523",="2483.6002",="0",="0",="704.1895",="3936.2302",="774.339",="489.7846",="3476.7147",="3979.2751",="709.5623",="0",="0",="925.8368",="1638.7117",="889.4078",="2466.9164",="236.8676",="1430.0498",="0",="147.8158",="741.9251",="1564.7825",="3760.7954",="0",="694.3745",="640.2733",="0",="1544.7698",="4238.244500000001",="464.2265",="582.1978",="0",="0",="478.3748",="663.8034",="3.0848",="133.3412",="342.7569",="0",="742.8631",="0",="302.0084",="1623.9157",="387.9435",="0",="225.0738"
="VISrl5",="2879.9251",="0",="0",="3441.2985",="1031.8339",="3149.0391",="0",="3779.6694",="1965.4327",="1350.9425",="3191.3742",="3392.4307",="996.3003",="2558.9816",="1289.8328",="1008.4583",="1262.4907",="1441.2753",="2202.6192",="1535.0752",="27.7054",="263.6251",="0",="1117.4627",="722.2117",="0",="11.1214",="1267.3497",="786.1485",="1553.9861",="372.4658",="2897.1588",="609.8056",="25.8905",="2305.9521",="7046.0768",="1904.4279",="0",="988.4452",="1821.3112",="333.5876",="49.502",="307.8533",="42.6382",="1108.3801",="1198.9975",="503.337",="100.2383",="971.1109",="0",="0",="1388.8264",="1618.0709",="1550.5786",="0",="1087.7312",="718.3587",="0",="3406.0253",="927.6261",="811.5534",="661.635",="0",="0",="32.5706",="1413.471",="1659.9782",="3388.2005",="1206.1472",="26.4538",="1421.6114",="0",="922.1986",="790.5301",="328.7226",="0",="49.0899"
="TEa1",="264.6849",="0",="133.9585",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="57.2177",="0",="0",="0",="62.1513",="0",="0",="175.6901",="0",="50.3781",="435.26",="2372.6823",="290.1523",="182.1642",="0",="0",="0",="0",="429.724",="352.7607",="0",="0",="0",="0",="0",="0",="0",="1627.647",="726.1767",="0",="0",="62.6681",="0",="0",="0",="0",="0",="1478.9605",="466.2415",="645.9549",="0",="0",="301.3647",="1400.2111",="1835.5089",="311.5707",="248.0586",="258.2771",="658.0001",="0",="1336.1646",="0",="0",="0",="0",="0",="0",="0",="244.3737",="0",="0",="0",="0",="4140.1597"
="TEa2/3",="827.2709",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="758.5475",="0",="0",="0",="258.3733",="180.101",="0",="0",="0",="146.7589",="814.3062",="6439.683599999999",="793.6514",="366.8541",="0",="0",="0",="920.4373",="236.9332",="746.0629",="0",="0",="0",="0",="0",="0",="0",="3394.529",="942.4106",="0",="0",="56.2195",="0",="0",="23.1625",="0",="0",="1168.4513",="183.5443",="0",="192.6146",="0",="1392.5703",="482.945",="106.2736",="126.8801",="281.9399",="528.9156",="909.0729",="1060.109",="824.7481",="0",="0",="0",="0",="0",="0",="0",="403.8757",="0",="0",="0",="0",="509.6833"
="TEa4",="715.304",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="672.2235",="0",="0",="0",="227.5026",="539.6896",="0",="327.7732",="0",="661.6245",="265.6483",="1090.8554",="192.1573",="343.2492",="0",="0",="0",="259.911",="591.3555",="148.7723",="0",="0",="0",="0",="0",="0",="0",="327.1738",="516.4845",="0",="0",="0",="0",="0",="0",="0",="0",="1292.5237",="136.0314",="0",="866.4846",="0",="130.5538",="28.4019",="0",="0",="88.849",="377.4781",="620.8084",="765.0117",="316.7728",="0",="0",="0",="0",="0",="8.0003",="0",="255.0226",="0",="0",="0",="0",="711.6237"
="TEa5",="1062.6178",="157.5544",="0",="0",="0",="0",="0",="0",="0",="124.7622",="0",="495.7746",="0",="999.6442",="0",="0",="0",="2506.3076",="754.1743",="153.4066",="0",="2163.3146",="324.0067",="887.534",="3866.0429999999997",="40.0945",="802.5153",="0",="0",="0",="1869.2127",="1923.865",="998.9976",="2320.2846",="0",="0",="0",="0",="1053.3081",="0",="138.9686",="992.1134",="0",="0",="0",="320.0327",="240.3236",="0",="0",="835.2782",="256.6224",="785.7902",="0",="731.3058",="0",="14.7964",="289.12",="0",="514.6471",="226.2795",="744.4199",="0",="4593.4408",="0",="0",="0",="2177.3025",="586.6767",="0",="4544.64",="0",="2030.6968",="0",="0",="0",="0",="508.2942"
="fp",="1159.6445",="0",="1509.2594",="0",="2338.4295",="0",="2321.8405",="0",="2044.1951999999999",="0",="0",="0",="0",="2645.8446",="837.7683",="41.4321",="2523.1582",="0",="0",="2236.0582",="1719.2389",="178.9758",="2538.4118",="4065.4442",="6800.3367",="5328.2653",="0",="649.1233",="1674.8768",="134.0673",="989.5868",="6.6062",="0",="678.6845",="1024.0419",="0",="1102.6314",="4822.6908",="4595.2982999999995",="5814.2505",="3701.4899",="5134.3014",="3210.0929",="1321.8148",="3009.9064",="1957.064",="4407.682",="3966.0134",="1163.6213",="1801.8322",="3201.7122",="2316.6588",="1404.0902",="994.322",="5396.3303",="1602.4521",="1786.0126",="0",="4728.3012",="2035.696",="649.958",="1307.8663",="3955.4543",="3424.1003",="6223.7028",="3326.4465",="1847.3328000000001",="0",="1099.9528",="0",="0",="223.6154",="433.4745",="515.3419",="27.4274",="0",="485.9645"
="or",="2248.4854",="1218.4149",="2413.8622",="0",="2541.7204",="0",="1333.3003",="230.9638",="3952.8631",="204.6706",="0",="100.3898",="211.8215",="1641.5777",="127.8775",="154.4902",="382.6028",="1530.2206",="158.6267",="624.9566",="238.6054",="704.4907",="206.7771",="993.2522",="1077.5756000000001",="630.1756",="1109.0459",="370.2823",="739.1778",="1180.2336",="1024.931",="984.743",="648.1232",="1948.5652",="1281.1237",="5.2012",="1624.6205",="4093.1213",="1948.2333",="2391.6072000000004",="2195.8199",="1532.1617",="3519.5379",="1274.6045",="2167.167",="2786.0953",="2172.102",="2181.8978",="3242.5295",="1319.2149",="2922.1546",="5974.809",="1698.08",="4493.0725",="3493.1682",="2785.2698",="2103.7195",="1797.0077",="4263.7308",="3874.6208",="2232.6843",="4320.0908",="4142.2043",="6291.8788",="3403.9713",="3074.3404",="2592.2041",="1563.9067",="1397.1039",="3183.6505",="1646.3828",="384.1951",="4008.4899",="3203.0692",="3039.9351",="3685.8428",="8491.1957"
