 ,221057_135,221057_150,221057_155,221364_083,221364_087,221701_055,230011_175,230066_079,230066_084,231685_259,231685_281,233285_119,233379_133,233380_037,233666_171,233668_063,233668_065,233668_073,233668_099,233668_101,233795_002,233795_003,233795_009,233795_012,233795_074,233795_088,221090_095,221091_154,221417_015,221418_129,221479_166,231685_243,231685_255,233379_029,233379_036,233379_097,233379_130,233666_139,233666_204,221090_092,221090_094,221090_099,221091_125,221091_158,221418_135,221418_137,221477_059,221481_137,231687_014,233379_123,233666_201,233667_217,233667_242,233667_256,233667_267,233667_269,221065_081,231687_027,231687_028,233284_183,233667_270,221225_016,231687_023,233666_161,221065_083,221065_086,233667_261
="VISpor1",="8.6425",="0",="0",="0",="0",="0",="0",="257.5357",="0",="14.5393",="0",="0",="0",="206.5985",="58.2049",="403.9125",="110.1882",="35.4519",="0",="0",="0",="0",="0",="629.2759",="0",="0",="0",="2474.9494",="0",="0",="0",="51.3313",="4554.9424",="273.6697",="2220.1175",="0",="5644.2065",="271.4619",="1003.5824",="215.2761",="2354.9196",="1411.4831",="70.9224",="120.3906",="0",="22.0061",="114.7864",="0",="2979.9946",="0",="1128.4155",="1047.6883",="0",="0",="0",="1459.8475",="154.0893",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1510.0637"
="VISpor2/3",="1096.8452",="0",="0",="0",="0",="0",="0",="2711.9573",="0",="0",="0",="848.0887",="0",="1226.468",="2914.2799",="243.044",="3660.9726",="1105.4386",="0",="0",="0",="0",="237.6255",="6.0448",="0",="0",="0",="424.3604",="0",="0",="656.6177",="47.4601",="11667.4312",="193.6667",="98.3994",="0",="6121.6888",="2640.3434",="6000.0961",="1622.2054",="2346.8289",="2849.0746",="2296.3763",="1125.2612",="0",="0",="171.681",="0",="5902.3709",="0",="6601.0794",="4092.4377",="0",="698.9673",="0",="327.4809",="182.1926",="0",="0",="0",="0",="0",="0",="0",="0",="0",="983.4917"
="VISpor5",="2127.1715",="0",="0",="0",="0",="0",="0",="2471.1515",="0",="0",="0",="156.6628",="0",="1286.033",="1187.9044",="1087.393",="3408.3231",="3203.6408",="72.2237",="3177.5253",="0",="0",="1388.3258",="1150.2536",="0",="0",="0",="504.7871",="0",="0",="431.9693",="0",="3519.7557",="436.7638",="0",="0",="3337.7224",="0",="2983.9558",="0",="1221.3026",="1315.3524",="123.9079",="757.3567",="0",="0",="0",="0",="455.301",="0",="1347.9182",="1298.6684",="0",="1000.9998",="0",="0",="601.9104",="3498.223",="324.1234",="0",="114.5545",="0",="3.918",="0",="0",="0",="843.2104"
="RSPagl1",="259.9656",="0",="0",="0",="0",="210.8157",="0",="25.5226",="0",="0",="0",="0",="0",="189.7811",="0",="0",="0",="0",="0",="2321.9035",="0",="0",="0",="0",="0",="0",="3312.9604",="4544.0553",="5440.2698",="0",="0",="644.2495",="866.7114",="367.8022",="3801.1265000000003",="314.0616",="0",="1000.2003",="0",="0",="10754.3027",="0",="17572.0273",="0",="0",="3513.4703",="4115.5007",="0",="3113.5838",="152.4134",="4032.8587",="4468.4465",="653.1079",="581.8253",="0",="0",="1930.1638",="0",="0",="213.1124",="184.2121",="0",="0",="0",="0",="0",="0"
="RSPagl2/3",="569.1845",="0",="0",="0",="0",="0",="0",="1140.6545",="0",="0",="0",="0",="0",="352.3897",="0",="0",="0",="0",="0",="3527.4859",="0",="0",="0",="0",="0",="0",="667.8709",="2824.7234",="3047.4696",="0",="0",="281.7206",="736.9588",="0",="1487.0797",="179.2932",="15.7742",="129.3555",="0",="0",="2070.5017",="0",="18743.0513",="0",="0",="604.1556",="3515.2969999999996",="0",="1410.703",="1420.2017",="3706.9096",="1828.6224",="492.2439",="295.7858",="0",="0",="0",="0",="0",="0",="259.4769",="0",="0",="0",="0",="0",="0"
="RSPagl5",="357.8679",="0",="0",="0",="0",="0",="0",="2158.394",="0",="0",="0",="0",="0",="51.1786",="0",="0",="0",="0",="141.571",="4166.2837",="0",="0",="0",="168.7054",="0",="0",="420.7762",="304.611",="193.6498",="0",="0",="1122.0823",="1391.1225",="251.626",="1207.7046",="211.897",="667.553",="2310.3423",="0",="0",="1119.3206",="0",="3555.15",="0",="0",="0",="711.7342",="0",="975.9514",="774.2932",="690.4679",="2767.6777",="528.2237",="293.1828",="222.134",="0",="43.5132",="0",="412.16420000000005",="0",="709.7796",="0",="0",="0",="0",="0",="0"
="RSPagl6a",="372.9406",="0",="0",="0",="0",="393.382",="0",="428.692",="101.2933",="0",="0",="0",="0",="0",="150.2979",="2.5739",="0",="0",="331.4241",="414.0458",="0",="0",="145.5863",="408.9741",="0",="0",="629.5968",="573.366",="0",="0",="0",="0",="524.5453",="148.64",="202.32049999999998",="655.4295",="697.22",="517.5964",="0",="721.0481",="321.7347",="0",="1309.0436",="0",="0",="383.9136",="844.26",="0",="231.3425",="1222.1601",="351.5599",="1028.2479",="1408.6859",="0",="3942.8415",="871.7838",="279.1444",="0",="2058.5715",="532.9225",="1628.3513",="0",="0",="0",="33.765",="0",="0"
="RSPd2/3",="306.7914",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="431.8625",="0",="0",="1951.5665",="0",="0",="0",="509.6839",="11989.4578",="2039.9881",="0",="0",="914.7672",="1187.6856",="234.344",="1594.8485",="432.4455",="0",="1000.7525",="0",="0",="842.3914",="0",="7661.8858",="0",="0",="338.5849",="3604.0058",="944.4901",="1418.9313000000002",="0",="460.6376",="679.2393",="0",="0",="0",="0",="583.8526",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd5",="267.28",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2428.3033",="0",="0",="341.8613",="0",="0",="0",="913.7459",="1219.2898",="799.4769",="0",="0",="36.3386",="404.8045",="116.7085",="1369.1768",="1214.5471",="856.7175",="2903.0535",="0",="0",="872.2807",="0",="3565.4447",="0",="0",="468.6969",="1352.7131",="2017.444",="1245.1114",="969.8249",="220.99689999999998",="726.2117",="0",="0",="1483.327",="0",="1462.3158",="0",="659.794",="0",="215.503",="0",="0",="0",="0",="0",="0"
="RSPd6a",="2579.3613",="0",="0",="0",="0",="1008.1585",="0",="0",="33.423",="0",="0",="0",="0",="0",="0",="0",="0",="0",="51.908",="356.2345",="0",="0",="1396.3503",="0",="0",="0",="175.2082",="2496.2184",="0",="0",="0",="0",="0",="124.4295",="344.9383",="939.6182",="0",="2458.8174",="0",="22.9012",="0",="0",="2038.1826",="0",="568.7334",="85.0718",="1468.9903",="2130.9307",="375.9796",="2223.8456",="208.9542",="0",="0",="0",="3014.8198",="980.0999",="1542.154",="0",="7213.0357",="1637.4539",="874.4884",="0",="0",="0",="0",="0",="0"
