 ,221478_836,221481_220,221481_226,221481_558,221481_607,221701_063,221701_064,221701_065,221701_066,221751_096,230110_031,231570_001,231570_007,233668_074,233668_079,233668_082,233668_083,233668_084,233668_085,233668_086,233668_087,233668_088,233668_089,233668_090,233668_091,233668_092,233668_093,233795_037,233795_038,233795_039,233795_040,233795_041,233795_042,233795_043,233795_045,233795_046,233795_048,233795_049,233795_050,233795_053,233795_055,233795_082,233795_128,233795_135,221481_221,221481_223,221481_225,221481_550,221481_593,221481_603,221481_604,221481_606,230061_041,231686_052,231686_053,231686_054,231686_055,221225_002,221225_007,221367_245,221426_079,221481_222,221713_001,231686_056,231687_019,231687_020,233667_287,233667_288,221065_092,221065_093,221424_044,221426_076,221225_001,221225_003,221225_004,221225_005,221225_006,221225_008,221225_011,221225_012,221225_013,221225_014,221225_017,221225_019,221225_020,221226_008,221226_009,221226_016,221226_025,221226_026,221424_042,231687_022,221513_058,221516_004,221516_010,231687_033,233281_010,233281_119,233281_121
="VISp1",="14",="1",="0",="58",="6",="12",="4",="31",="5",="53",="0",="8",="2",="3",="1",="0",="5",="1",="2",="0",="4",="2",="16",="16",="10",="28",="2",="1",="4",="44",="35",="27",="11",="7",="11",="23",="47",="16",="6",="35",="20",="18",="4",="10",="48",="25",="10",="69",="28",="36",="91",="49",="6",="1",="36",="10",="0",="4",="0",="0",="1",="60",="0",="16",="48",="67",="1",="14",="0",="0",="1",="0",="58",="35",="69",="9",="17",="40",="46",="30",="6",="0",="11",="12",="14",="31",="9",="7",="9",="84",="0",="11",="5",="0",="0",="3",="0",="0",="0"
="VISp2/3",="14",="2",="0",="32",="8",="8",="1",="14",="20",="8",="1",="8",="3",="2",="0",="0",="0",="1",="0",="0",="1",="2",="6",="5",="2",="3",="1",="0",="0",="1",="4",="17",="1",="4",="6",="8",="22",="5",="2",="15",="1",="8",="0",="3",="2",="7",="1",="6",="0",="0",="2",="7",="0",="0",="5",="3",="0",="1",="0",="0",="1",="10",="73",="0",="15",="10",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="2",="0",="0",="0",="1",="1",="0",="0",="0",="0",="3",="1",="0",="2",="0",="0",="0"
="VISp4",="3",="0",="1",="2",="1",="3",="3",="2",="8",="1",="0",="2",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="1",="0",="2",="0",="0",="0",="0",="2",="2",="4",="5",="8",="10",="0",="0",="2",="0",="3",="4",="4",="0",="12",="12",="2",="0",="2",="8",="1",="5",="1",="0",="1",="0",="5",="0",="6",="14",="0",="7",="18",="2",="0",="0",="0",="1",="4",="0",="1",="1",="0",="0",="0",="0",="1",="3",="3",="0",="3",="0",="0",="4",="3",="0",="1",="1",="0",="1",="1",="4",="25",="13",="1",="2"
="VISp5",="9",="0",="0",="8",="8",="2",="3",="0",="6",="7",="0",="1",="1",="1",="1",="3",="3",="1",="0",="0",="0",="0",="4",="0",="6",="0",="1",="0",="0",="4",="3",="1",="0",="6",="10",="8",="5",="8",="7",="4",="0",="8",="0",="1",="5",="3",="0",="2",="13",="2",="1",="3",="1",="0",="2",="0",="0",="1",="0",="20",="0",="21",="40",="5",="13",="54",="7",="1",="0",="0",="35",="12",="0",="12",="23",="3",="1",="0",="0",="1",="13",="18",="12",="10",="2",="7",="17",="19",="8",="3",="15",="6",="0",="8",="18",="97",="0",="1",="2"
="VISp6a",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="1",="0",="0",="0",="0",="1",="0",="26",="0",="3",="2",="0",="17",="50",="0",="0",="5",="8",="42",="17",="0",="5",="2",="1",="1",="0",="0",="1",="1",="0",="2",="3",="0",="1",="3",="2",="4",="0",="20",="4",="1",="5",="1",="8",="0",="0",="1"
="VISrl1",="2",="0",="1",="0",="0",="0",="0",="0",="31",="1",="0",="39",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="3",="0",="4",="0",="0",="5",="0",="2",="0",="3",="0",="1",="0",="1",="2",="18",="0",="16",="3",="0",="0",="14",="5",="2",="2",="14",="0",="0",="11",="51",="1",="0",="7",="0",="0",="1",="0",="0",="0",="0",="2",="5",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="2",="1",="7",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl2/3",="9",="0",="0",="0",="0",="1",="6",="5",="18",="0",="0",="37",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="1",="0",="0",="5",="0",="2",="0",="2",="0",="24",="0",="0",="2",="6",="0",="11",="0",="0",="0",="6",="0",="1",="0",="7",="0",="0",="0",="16",="18",="0",="5",="0",="0",="0",="0",="0",="0",="0",="2",="2",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="8",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0"
="VISrl4",="1",="0",="1",="0",="0",="0",="1",="0",="3",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="9",="10",="4",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0"
="VISrl5",="0",="0",="0",="0",="1",="1",="2",="1",="5",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="3",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="2",="0",="1",="0",="0",="0",="0",="3",="0",="1",="0",="0",="0",="2",="0",="1",="0",="0",="1",="5",="4",="3",="1",="0",="2",="7",="0",="1",="5",="0",="2",="0",="6",="0",="1",="0",="0",="0",="0",="0",="0"
="fp",="1",="0",="1",="1",="0",="1",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="1",="1",="0",="0",="1",="0",="0",="0",="1",="0",="1",="1",="1",="2",="0",="0",="1",="1",="0",="2",="1",="0",="0",="0",="1",="2",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0",="4",="3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0"
